epoch,step,train/mse,val/mse
0,19,22380492.0,
1,39,2924542.5,
2,59,927767.1875,
3,79,714217.375,
3,99,647338.375,
4,119,702434.0,
4,124,,619036.5
5,139,653484.875,
6,159,589096.75,
7,179,617970.1875,
7,199,725998.5,
8,219,752283.6875,
9,239,624263.0,
9,249,,623959.625
10,259,619752.75,
11,279,596915.25,
11,299,663785.4375,
12,319,554680.25,
13,339,549219.875,
14,359,684458.9375,
14,374,,617782.375
15,379,568906.1875,
15,399,686837.5,
16,419,668275.375,
17,439,652232.875,
18,459,684296.0,
19,479,634620.1875,
19,499,700325.5,
19,499,,620953.5
20,519,587370.9375,
21,539,548071.125,
22,559,636241.875,
23,579,679618.25,
23,599,648603.5,
24,619,582667.75,
24,624,,615037.25
25,639,797795.875,
26,659,655084.25,
27,679,622488.375,
27,699,679717.0,
28,719,559326.0,
29,739,648679.0,
29,749,,614490.25
30,759,577397.875,
31,779,627518.0,
31,799,657610.8125,
32,819,604749.0625,
33,839,710351.0,
34,859,620378.125,
34,874,,626411.3125
35,879,708970.375,
35,899,745525.1875,
36,919,507651.5,
37,939,719755.0,
38,959,746461.0,
39,979,739257.0,
39,999,532170.0,
39,999,,622786.375
40,1019,753883.375,
41,1039,685820.375,
42,1059,539717.0,
43,1079,591075.25,
43,1099,654272.875,
44,1119,675969.0,
44,1124,,612797.375
45,1139,621370.375,
46,1159,731078.375,
47,1179,619031.875,
47,1199,654148.25,
48,1219,517081.5,
49,1239,683188.125,
49,1249,,624693.625
50,1259,569050.75,
51,1279,540314.9375,
51,1299,655019.9375,
52,1319,628964.25,
53,1339,695026.1875,
54,1359,503591.75,
54,1374,,620352.75
55,1379,644375.875,
55,1399,555134.6875,
56,1419,819243.375,
57,1439,635557.625,
58,1459,685273.5,
59,1479,605117.6875,
59,1499,661045.0,
59,1499,,619503.9375
60,1519,498624.75,
61,1539,630223.25,
62,1559,628793.6875,
63,1579,772377.375,
63,1599,707025.6875,
64,1619,719681.375,
64,1624,,612113.4375
65,1639,657123.25,
66,1659,651124.3125,
67,1679,615296.75,
67,1699,624735.0,
68,1719,652352.5,
69,1739,672022.5,
69,1749,,610939.0
70,1759,660215.5,
71,1779,591330.75,
71,1799,700838.875,
72,1819,669259.0625,
73,1839,529440.4375,
74,1859,681114.875,
74,1874,,611258.8125
75,1879,672610.0625,
75,1899,781387.625,
76,1919,681318.6875,
77,1939,677817.375,
78,1959,672731.6875,
79,1979,622706.25,
79,1999,616785.0,
79,1999,,614587.5
80,2019,606918.375,
81,2039,603391.125,
82,2059,670496.3125,
83,2079,689845.0,
83,2099,435790.1875,
84,2119,604433.5,
84,2124,,626068.625
85,2139,699363.1875,
86,2159,537107.25,
87,2179,663345.4375,
87,2199,621405.8125,
88,2219,609599.625,
89,2239,589634.0,
89,2249,,611139.5
90,2259,696660.5,
91,2279,524767.6875,
91,2299,763880.75,
92,2319,683966.625,
93,2339,746964.6875,
94,2359,638215.0,
94,2374,,618027.5
95,2379,670482.625,
95,2399,556887.75,
96,2419,622959.1875,
97,2439,674732.4375,
98,2459,617725.75,
99,2479,692411.75,
99,2499,647668.5,
99,2499,,611500.75
100,2500,,611500.75
