epoch,step,train_loss,val_loss
0,9,36369504.0,
0,12,,34034948.0
1,19,31031190.0,
1,25,,33958736.0
2,29,30926316.0,
2,38,,33664424.0
3,39,34589276.0,
3,49,31651600.0,
3,51,,33356874.0
4,59,31595964.0,
4,64,,33753796.0
5,69,34227600.0,
5,77,,33267386.0
6,79,29949592.0,
6,89,30893616.0,
6,90,,31049182.0
7,99,27685056.0,
7,103,,32116872.0
8,109,31803636.0,
8,116,,30942628.0
9,119,29612992.0,
9,129,26768870.0,
9,129,,29831734.0
10,139,27364860.0,
10,142,,29189872.0
11,149,26036454.0,
11,155,,24798568.0
12,159,25669276.0,
12,168,,23830906.0
13,169,24149638.0,
13,179,22797020.0,
13,181,,22587842.0
14,189,22592836.0,
14,194,,21397660.0
15,199,18697378.0,
15,207,,19301306.0
16,209,17803048.0,
16,219,15173904.0,
16,220,,16612776.0
17,229,13740418.0,
17,233,,13881467.0
18,239,13323622.0,
18,246,,11967670.0
19,249,11964291.0,
19,259,9001310.0,
19,259,,12354392.0
20,269,7999809.0,
20,272,,8376213.0
21,279,6940685.5,
21,285,,6670303.5
22,289,4704812.5,
22,298,,5877403.5
23,299,4065570.5,
23,309,2658959.5,
23,311,,3835166.75
24,319,2117614.0,
24,324,,3281431.75
25,329,1660783.5,
25,337,,3297871.25
26,339,1400080.875,
26,349,769682.25,
26,350,,2560980.75
27,359,576055.0,
27,363,,1999774.75
28,369,402335.71875,
28,376,,963128.625
29,379,531888.1875,
29,389,551543.125,
29,389,,1121177.125
30,399,418739.5,
30,402,,1434053.625
31,409,321684.09375,
31,415,,751451.0625
32,419,512645.5,
32,428,,340680.25
33,429,290091.46875,
33,439,385706.8125,
33,441,,519710.6875
34,449,453418.5,
34,454,,350096.125
35,459,135944.203125,
35,467,,1090099.5
36,469,386324.8125,
36,479,291287.5,
36,480,,830104.25
37,489,264376.9375,
37,493,,348517.96875
38,499,247383.65625,
38,506,,1105256.875
39,509,406034.75,
39,519,169713.171875,
39,519,,660748.3125
40,529,269218.4375,
40,532,,356046.03125
41,539,162210.484375,
41,545,,271895.625
42,549,180283.484375,
42,558,,399594.09375
43,559,236211.34375,
43,569,339567.875,
43,571,,628401.25
44,579,215581.5,
44,584,,613313.125
45,589,176270.375,
45,597,,708935.75
46,599,121578.3984375,
46,609,251578.5625,
46,610,,322577.71875
47,619,181585.09375,
47,623,,259108.046875
48,629,457044.59375,
48,636,,427243.28125
49,639,436324.5,
49,649,269897.03125,
49,649,,208109.015625
50,659,580345.125,
50,662,,494600.53125
51,669,311529.78125,
51,675,,290267.0
52,679,335219.5625,
52,688,,459804.75
53,689,139319.4375,
53,699,303934.4375,
53,701,,390317.59375
54,709,261077.3125,
54,714,,501936.5625
55,719,185791.234375,
55,727,,495539.84375
56,729,281697.0625,
56,739,224048.53125,
56,740,,356571.59375
57,749,208470.84375,
57,753,,433938.96875
58,759,166246.53125,
58,766,,294025.40625
59,769,192335.921875,
59,779,174792.03125,
59,779,,760564.0
60,789,225116.609375,
60,792,,471937.53125
61,799,273636.375,
61,805,,249569.15625
62,809,313450.09375,
62,818,,294741.3125
63,819,399180.8125,
63,829,324005.6875,
63,831,,311986.46875
64,839,181019.59375,
64,844,,300970.78125
65,849,246774.625,
65,857,,281741.25
66,859,215057.46875,
66,869,210297.625,
66,870,,314540.03125
67,879,220768.46875,
67,883,,296207.8125
68,889,214654.984375,
68,896,,373503.03125
69,899,214279.796875,
69,909,214733.296875,
69,909,,511157.875
