epoch,step,train_loss,val_loss
0,9,34468576.0,
0,12,,32850380.0
1,19,33423000.0,
1,25,,32784808.0
2,29,34466140.0,
2,38,,32714778.0
3,39,30934614.0,
3,49,36124464.0,
3,51,,32443256.0
4,59,33729404.0,
4,64,,32122362.0
5,69,31014390.0,
5,77,,32171484.0
6,79,31694516.0,
6,89,32086998.0,
6,90,,31576030.0
7,99,31323830.0,
7,103,,29858328.0
8,109,32045480.0,
8,116,,31120522.0
9,119,28000550.0,
9,129,32442180.0,
9,129,,29112308.0
10,139,30305860.0,
10,142,,28411494.0
11,149,31555158.0,
11,155,,26678564.0
12,159,27573814.0,
12,168,,26439810.0
13,169,27834908.0,
13,179,22731420.0,
13,181,,23604636.0
14,189,20977776.0,
14,194,,25709288.0
15,199,21441704.0,
15,207,,18172026.0
16,209,19832168.0,
16,219,16589839.0,
16,220,,18055078.0
17,229,16529640.0,
17,233,,16028538.0
18,239,12948988.0,
18,246,,14081087.0
19,249,11239047.0,
19,259,10664104.0,
19,259,,12306098.0
20,269,8487782.0,
20,272,,9598118.0
21,279,7112533.0,
21,285,,6735913.0
22,289,7595526.0,
22,298,,5330140.5
23,299,4993067.0,
23,309,4228080.0,
23,311,,4548914.5
24,319,2833679.0,
24,324,,3684041.0
25,329,2608680.0,
25,337,,2202023.0
26,339,1894064.75,
26,349,1223787.75,
26,350,,1618088.5
27,359,1195457.5,
27,363,,1372750.5
28,369,1389698.625,
28,376,,1487456.0
29,379,1247373.25,
29,389,337335.4375,
29,389,,902252.5
30,399,500545.71875,
30,402,,664008.0625
31,409,241780.34375,
31,415,,969263.625
32,419,206625.78125,
32,428,,1440418.875
33,429,167153.484375,
33,439,308408.34375,
33,441,,1397683.875
34,449,267302.3125,
34,454,,1349705.25
35,459,372176.46875,
35,467,,627014.625
36,469,158221.984375,
36,479,354913.4375,
36,480,,338631.46875
37,489,188577.46875,
37,493,,419497.75
38,499,302728.8125,
38,506,,997112.1875
39,509,654977.25,
39,519,374208.375,
39,519,,764585.25
40,529,411328.9375,
40,532,,422946.40625
41,539,300773.25,
41,545,,560728.4375
42,549,393854.0625,
42,558,,427791.96875
43,559,218033.375,
43,569,368497.96875,
43,571,,302574.1875
44,579,402018.21875,
44,584,,274092.75
45,589,116505.078125,
45,597,,674025.625
46,599,295237.21875,
46,609,182036.96875,
46,610,,424281.28125
47,619,172888.84375,
47,623,,296923.4375
48,629,292929.0,
48,636,,323249.0625
49,639,358290.71875,
49,649,148117.234375,
49,649,,221784.375
50,659,322304.375,
50,662,,198926.5625
51,669,256368.625,
51,675,,309480.40625
52,679,222697.0,
52,688,,301728.0625
53,689,333165.21875,
53,699,232585.0625,
53,701,,315143.40625
54,709,109972.65625,
54,714,,347107.40625
55,719,291025.34375,
55,727,,386829.03125
56,729,264304.5625,
56,739,206284.25,
56,740,,246870.40625
57,749,254505.375,
57,753,,269840.6875
58,759,151652.90625,
58,766,,293847.15625
59,769,223176.046875,
59,779,175600.046875,
59,779,,387975.875
60,789,181486.59375,
60,792,,397697.6875
61,799,159976.28125,
61,805,,526971.9375
62,809,253068.796875,
62,818,,302645.6875
63,819,168782.453125,
63,829,180723.59375,
63,831,,300076.25
64,839,107664.484375,
64,844,,345575.25
65,849,158559.265625,
65,857,,344480.625
66,859,207623.46875,
66,869,152874.375,
66,870,,416523.90625
67,879,434254.84375,
67,883,,313192.9375
68,889,315987.0,
68,896,,382205.8125
69,899,198568.25,
69,909,115267.0,
69,909,,360092.71875
70,919,194787.875,
70,922,,332577.90625
