epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,35410184.0,36709660.0,12994743.0,,,
0,19,33680304.0,33698640.0,183378.59375,,,
0,29,33642600.0,33643876.0,12745.791015625,,,
0,39,35684552.0,35685736.0,11842.0498046875,,,
0,49,29353948.0,29355962.0,20140.982421875,,,
0,59,33013736.0,33014352.0,6166.85595703125,,,
0,69,30558496.0,30558984.0,4883.33984375,,,
0,79,34533832.0,34536652.0,28198.798828125,,,
0,89,32971686.0,32981808.0,101217.9375,,,
0,93,,,,33783772.0,33793284.0,95050.0703125
1,99,34320112.0,34326604.0,64919.265625,,,
1,109,33401120.0,33405642.0,45229.73828125,,,
1,119,33989544.0,33992556.0,30135.896484375,,,
1,129,34454932.0,34458324.0,33920.33203125,,,
1,139,34188384.0,34192688.0,43042.31640625,,,
1,149,35538088.0,35543148.0,50597.765625,,,
1,159,33836608.0,33838340.0,17336.41015625,,,
1,169,35822528.0,35824488.0,19599.16015625,,,
1,179,34077976.0,34080208.0,22324.779296875,,,
1,187,,,,33775176.0,33775672.0,4915.01708984375
2,189,33862920.0,33872512.0,95910.28125,,,
2,199,33802280.0,33804056.0,17767.416015625,,,
2,209,35579748.0,35583296.0,35495.28515625,,,
2,219,32736936.0,32739160.0,22239.669921875,,,
2,229,34846816.0,35279628.0,4328139.0,,,
2,239,34156412.0,34174096.0,176842.203125,,,
2,249,33025734.0,33064746.0,390111.40625,,,
2,259,30820224.0,30871684.0,514602.125,,,
2,269,34008612.0,34029544.0,209306.421875,,,
2,279,36414888.0,36431588.0,167018.1875,,,
2,281,,,,33760604.0,33768772.0,81713.2578125
3,289,34293544.0,34311660.0,181155.59375,,,
3,299,32403704.0,32405996.0,22922.228515625,,,
3,309,34981728.0,34986564.0,48350.5078125,,,
3,319,33696524.0,33705212.0,86883.265625,,,
3,329,30633382.0,30638868.0,54858.83203125,,,
3,339,31976820.0,31986398.0,95779.4296875,,,
3,349,36186032.0,36202572.0,165402.96875,,,
3,359,32700908.0,32704752.0,38443.3359375,,,
3,369,33921280.0,33926316.0,50341.1328125,,,
3,375,,,,33762348.0,33762876.0,5265.2666015625
4,379,34470376.0,34477740.0,73649.8671875,,,
4,389,34284012.0,34286024.0,20112.43359375,,,
4,399,33086636.0,33100328.0,136927.53125,,,
4,409,33476816.0,33511878.0,350624.40625,,,
4,419,36547376.0,36551072.0,36970.375,,,
4,429,34620428.0,34622304.0,18777.591796875,,,
4,439,36435324.0,36438464.0,31407.287109375,,,
4,449,32161712.0,32165168.0,34564.99609375,,,
4,459,35353168.0,35357424.0,42570.7109375,,,
4,469,32724038.0,32733224.0,91858.0,,,
4,469,,,,33761320.0,33762060.0,7381.4658203125
5,479,31115416.0,31123858.0,84426.9140625,,,
5,489,34006428.0,34010892.0,44624.48828125,,,
5,499,35377688.0,35381968.0,42818.88671875,,,
5,509,35357272.0,35360960.0,36860.4140625,,,
5,519,33683696.0,33686712.0,30143.775390625,,,
5,529,32605468.0,32610224.0,47550.2421875,,,
5,539,32881088.0,32884512.0,34235.92578125,,,
5,549,33287446.0,33292026.0,45807.453125,,,
5,559,30404332.0,30407022.0,26909.67578125,,,
5,563,,,,33762536.0,33762916.0,3859.361572265625
6,569,34511312.0,34514156.0,28429.810546875,,,
6,579,33917952.0,33920156.0,22036.193359375,,,
6,589,35000856.0,35001884.0,10288.05859375,,,
6,599,32071790.0,32073642.0,18512.3984375,,,
6,609,34695068.0,34697368.0,23007.775390625,,,
6,619,31484806.0,31489456.0,46504.91796875,,,
6,629,35331888.0,35335040.0,31538.66796875,,,
6,639,33206134.0,33209962.0,38289.4296875,,,
6,649,34496476.0,34499576.0,31000.111328125,,,
6,657,,,,33762004.0,33762344.0,3466.717041015625
7,659,32853916.0,32856974.0,30579.787109375,,,
7,669,33721592.0,33724196.0,26020.8828125,,,
7,679,35281240.0,35293496.0,122577.71875,,,
7,689,33447350.0,33449628.0,22788.333984375,,,
7,699,33922728.0,33924928.0,21992.2734375,,,
7,709,30937276.0,30939416.0,21391.99609375,,,
7,719,35394196.0,35397160.0,29637.908203125,,,
7,729,31874368.0,31879416.0,50480.171875,,,
7,739,34948928.0,34950140.0,12102.4287109375,,,
7,749,33841128.0,33842832.0,17055.095703125,,,
7,751,,,,33762568.0,33763116.0,5584.25732421875
8,759,34910808.0,34914244.0,34346.6953125,,,
8,769,33651960.0,33654472.0,25132.76171875,,,
8,779,33950224.0,33959108.0,88827.9765625,,,
8,789,32274332.0,32280196.0,58645.3984375,,,
8,799,32023900.0,32025984.0,20842.40234375,,,
8,809,32766332.0,32768144.0,18122.7734375,,,
8,819,32838216.0,32847976.0,97597.40625,,,
8,829,33701472.0,33706076.0,46035.80078125,,,
8,839,31690582.0,31693100.0,25187.1875,,,
8,845,,,,33761892.0,33762548.0,6519.10546875
9,849,31427622.0,31430118.0,24969.134765625,,,
9,859,34025872.0,34027040.0,11683.7705078125,,,
9,869,35046864.0,35048444.0,15799.5380859375,,,
9,879,34252256.0,34253412.0,11573.8955078125,,,
9,889,34666180.0,34671068.0,48865.83984375,,,
9,899,34956136.0,34957976.0,18407.1875,,,
