epoch,step,train_loss,val_loss
0,9,32157580.0,
0,18,,33679024.0
1,19,33659984.0,
1,29,32543350.0,
1,37,,33570284.0
2,39,33806620.0,
2,49,34248876.0,
2,56,,33331824.0
3,59,31851438.0,
3,69,32669012.0,
3,75,,32993308.0
4,79,35917816.0,
4,89,32165956.0,
4,94,,32164174.0
5,99,30458868.0,
5,109,29466464.0,
5,113,,31193480.0
6,119,28732312.0,
6,129,28583440.0,
6,132,,29637232.0
7,139,28896512.0,
7,149,25977872.0,
7,151,,27279070.0
8,159,27282414.0,
8,169,26954588.0,
8,170,,24341752.0
9,179,23018924.0,
9,189,20291504.0,
9,189,,22464284.0
10,199,19870566.0,
10,208,,19455494.0
11,209,17621936.0,
11,219,17009168.0,
11,227,,17234662.0
12,229,14245563.0,
12,239,12611838.0,
12,246,,13113466.0
13,249,10296720.0,
13,259,8789655.0,
13,265,,9954637.0
14,269,7859433.0,
14,279,6731042.0,
14,284,,5781429.0
15,289,4914693.0,
15,299,3643319.5,
15,303,,5579642.0
16,309,2395666.75,
16,319,2348211.0,
16,322,,3691866.5
17,329,1602495.25,
17,339,1425753.75,
17,341,,3526455.75
18,349,1333502.75,
18,359,647529.4375,
18,360,,1542883.625
19,369,850522.75,
19,379,754032.0,
19,379,,1709668.0
20,389,564439.1875,
20,398,,1007920.625
21,399,609169.9375,
21,409,490343.46875,
21,417,,1014657.6875
22,419,757028.0,
22,429,620721.6875,
22,436,,709065.6875
23,439,506057.75,
23,449,623995.0,
23,455,,998320.4375
24,459,488202.5,
24,469,563821.4375,
24,474,,837354.625
25,479,588862.3125,
25,489,503884.0625,
25,493,,745338.75
26,499,529549.0,
26,509,564262.6875,
26,512,,793364.75
27,519,635293.25,
27,529,535953.6875,
27,531,,1013523.0
28,539,692712.375,
28,549,502302.71875,
28,550,,719235.375
29,559,542448.0,
29,569,580308.6875,
29,569,,924099.5
30,579,600057.75,
30,588,,741307.1875
31,589,796607.1875,
31,599,542569.875,
31,607,,910757.4375
32,609,737361.5,
32,619,803922.1875,
32,626,,889049.625
33,629,722591.0,
33,639,501013.09375,
33,645,,773927.25
34,649,672834.875,
34,659,572837.875,
34,664,,729347.3125
35,669,412910.0,
35,679,502313.625,
35,683,,673254.0625
36,689,593990.6875,
36,699,399376.59375,
36,702,,689081.0
37,709,571392.9375,
37,719,426085.5,
37,721,,754043.0
38,729,581104.125,
38,739,574822.75,
38,740,,684074.4375
39,749,694853.6875,
39,759,534041.4375,
39,759,,701020.875
40,769,524877.125,
40,778,,639604.1875
41,779,404183.34375,
41,789,790768.1875,
41,797,,721819.8125
42,799,555806.4375,
42,809,485967.96875,
42,816,,696375.625
43,819,473247.75,
43,829,609733.3125,
43,835,,719684.875
44,839,657562.0,
44,849,525574.25,
44,854,,812952.8125
45,859,546998.125,
45,869,508971.0625,
45,873,,685386.75
46,879,517958.375,
46,889,531274.875,
46,892,,761161.375
47,899,583506.1875,
47,909,607819.1875,
47,911,,620127.8125
48,919,892228.5,
48,929,582987.5,
48,930,,743821.4375
49,939,437475.9375,
49,949,739768.6875,
49,949,,794986.25
50,959,569204.625,
50,968,,642509.4375
51,969,466708.5,
51,979,581235.9375,
51,987,,785825.625
52,989,605278.6875,
52,999,479867.1875,
52,1006,,728683.8125
53,1009,597868.0,
53,1019,606522.0,
53,1025,,660428.3125
54,1029,447201.1875,
54,1039,469039.0625,
54,1044,,789856.5
55,1049,381606.3125,
55,1059,630861.625,
55,1063,,690977.5
56,1069,510553.96875,
56,1079,505806.1875,
56,1082,,840899.3125
57,1089,899045.875,
57,1099,598779.25,
57,1101,,685458.0
58,1109,521548.46875,
58,1119,445291.25,
58,1120,,761500.25
59,1129,475389.4375,
59,1139,542911.125,
59,1139,,693939.625
60,1149,606105.0,
60,1158,,753835.625
61,1159,286828.90625,
61,1169,486531.625,
61,1177,,663636.125
62,1179,519639.09375,
62,1189,687878.75,
62,1196,,771401.75
63,1199,521184.21875,
63,1209,779628.375,
63,1215,,782159.25
64,1219,643550.9375,
64,1229,225340.1875,
64,1234,,706438.8125
65,1239,556262.0,
65,1249,772818.625,
65,1253,,698347.8125
66,1259,488236.21875,
66,1269,608131.625,
66,1272,,709974.125
67,1279,588945.875,
67,1289,330585.9375,
67,1291,,781863.0625
