epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
45,4239,32912326.0,32917212.0,48850.5078125,,,
45,4249,33488806.0,33493654.0,48479.5859375,,,
45,4259,34550908.0,34555144.0,42342.12109375,,,
45,4269,35690492.0,35695808.0,53149.30078125,,,
45,4279,35456296.0,35461468.0,51719.375,,,
45,4289,34501472.0,34505416.0,39446.70703125,,,
45,4299,32299958.0,32302660.0,27020.6328125,,,
45,4309,34339576.0,34344864.0,52883.91796875,,,
45,4319,34584568.0,34589076.0,45072.06640625,,,
45,4323,,,,33559360.0,33564584.0,52191.01171875
46,4329,33087964.0,33098270.0,103054.609375,,,
46,4339,32636496.0,32640920.0,44234.0859375,,,
46,4349,33344416.0,33347976.0,35590.265625,,,
46,4359,33572648.0,33576168.0,35201.03125,,,
46,4369,33737516.0,33741620.0,41023.01953125,,,
46,4379,35247192.0,35253716.0,65259.8984375,,,
46,4389,31449392.0,31455756.0,63645.171875,,,
46,4399,33328918.0,33332486.0,35681.125,,,
46,4409,31787584.0,31792390.0,48069.765625,,,
46,4417,,,,33559352.0,33564612.0,52518.81640625
47,4419,33553686.0,33560388.0,67031.3125,,,
47,4429,32038006.0,32043900.0,58934.3359375,,,
47,4439,34510048.0,34513824.0,37770.32421875,,,
47,4449,35241880.0,35245020.0,31386.3515625,,,
47,4459,35092880.0,35096212.0,33338.01171875,,,
47,4469,34200008.0,34204988.0,49798.53515625,,,
47,4479,33341296.0,33346206.0,49106.109375,,,
47,4489,31984204.0,31990274.0,60707.04296875,,,
47,4499,34027144.0,34031308.0,41649.06640625,,,
47,4509,34497136.0,34502964.0,58285.16796875,,,
47,4511,,,,33559376.0,33564940.0,55630.91015625
48,4519,34413892.0,34418220.0,43280.98828125,,,
48,4529,30161894.0,30168508.0,66136.34375,,,
48,4539,32824998.0,32830954.0,59568.8828125,,,
48,4549,32929942.0,32938006.0,80644.5390625,,,
48,4559,33599400.0,33605080.0,56805.1328125,,,
