epoch,step,train_loss,val_loss
0,9,34173512.0,
0,12,,34309856.0
1,19,35981508.0,
1,25,,34256688.0
2,29,33092364.0,
2,38,,34094784.0
3,39,35270300.0,
3,49,29659182.0,
3,51,,34056700.0
4,59,30804532.0,
4,64,,33675928.0
5,69,31685910.0,
5,77,,33341534.0
6,79,32588710.0,
6,89,31834040.0,
6,90,,32612888.0
7,99,30370574.0,
7,103,,30399760.0
8,109,31220248.0,
8,116,,31403874.0
9,119,29221580.0,
9,129,29398296.0,
9,129,,29133264.0
10,139,30746444.0,
10,142,,29270494.0
11,149,27481470.0,
11,155,,27882494.0
12,159,23704148.0,
12,168,,21313452.0
13,169,25518310.0,
13,179,21510896.0,
13,181,,24831772.0
14,189,18776988.0,
14,194,,19487960.0
15,199,20958316.0,
15,207,,20201624.0
16,209,16363458.0,
16,219,15210000.0,
16,220,,22251568.0
17,229,13152310.0,
17,233,,14175130.0
18,239,14336878.0,
18,246,,10885247.0
19,249,11629703.0,
19,259,9208366.0,
19,259,,9938092.0
20,269,7929207.0,
20,272,,8888548.0
21,279,6735715.0,
21,285,,6027593.5
22,289,4883111.5,
22,298,,5819910.5
23,299,3159631.5,
23,309,3260236.0,
23,311,,4436372.0
24,319,2524729.0,
24,324,,2313757.5
25,329,2387524.75,
25,337,,2707928.25
26,339,1423852.375,
26,349,1249717.375,
26,350,,1811700.375
27,359,693153.75,
27,363,,1171961.375
28,369,1224114.25,
28,376,,942046.1875
29,379,372139.3125,
29,389,935920.0,
29,389,,907859.375
30,399,465139.1875,
30,402,,612136.6875
31,409,340483.34375,
31,415,,873691.1875
32,419,204324.59375,
32,428,,430585.96875
33,429,302318.625,
33,439,247335.375,
33,441,,454305.875
34,449,153621.5,
34,454,,375318.4375
35,459,174248.046875,
35,467,,505571.25
36,469,207187.09375,
36,479,377827.25,
36,480,,257304.40625
37,489,369410.46875,
37,493,,354673.1875
38,499,440874.71875,
38,506,,515759.03125
39,509,271212.5625,
39,519,236851.921875,
39,519,,244715.421875
40,529,271925.6875,
40,532,,285146.53125
41,539,189368.71875,
41,545,,346662.46875
42,549,310772.46875,
42,558,,469693.3125
43,559,223794.671875,
43,569,160245.765625,
43,571,,267195.875
44,579,364654.09375,
44,584,,329391.28125
45,589,162351.6875,
45,597,,428323.375
46,599,241050.34375,
46,609,973909.5,
46,610,,323453.625
47,619,279080.25,
47,623,,385293.90625
48,629,357104.0,
48,636,,427843.90625
49,639,188353.40625,
49,649,240525.0,
49,649,,217834.578125
50,659,187401.375,
50,662,,370895.53125
51,669,238195.609375,
51,675,,242724.5625
52,679,248527.53125,
52,688,,351252.5625
53,689,156908.625,
53,699,282661.125,
53,701,,316036.40625
54,709,385038.25,
54,714,,245288.765625
55,719,357846.75,
55,727,,539205.375
56,729,261739.75,
56,739,163554.9375,
56,740,,315603.53125
57,749,250038.109375,
57,753,,281253.53125
58,759,174803.65625,
58,766,,280241.875
59,769,352708.84375,
59,779,268212.3125,
59,779,,377322.25
60,789,162046.65625,
60,792,,243279.78125
61,799,113929.75,
61,805,,346972.28125
62,809,127850.1875,
62,818,,277872.5625
63,819,292272.0625,
63,829,278149.46875,
63,831,,344646.84375
64,839,268629.65625,
64,844,,272136.78125
65,849,218929.71875,
65,857,,256145.921875
66,859,221153.21875,
66,869,254386.875,
66,870,,296892.0625
67,879,365369.0,
67,883,,276549.4375
68,889,275821.46875,
68,896,,292738.28125
69,899,181162.0,
69,909,277663.25,
69,909,,253116.34375
