epoch,step,train_loss,val_loss
22,2069,4384.68310546875,
22,2079,4605.63037109375,
22,2089,7435.48388671875,
22,2099,8078.90234375,
22,2109,5292.99462890625,
22,2119,4344.5107421875,
22,2129,4448.38623046875,
22,2139,9578.271484375,
22,2149,4128.96435546875,
22,2159,4658.65771484375,
22,2161,,1087.515869140625
23,2169,18576.560546875,
23,2179,3262.9892578125,
23,2189,6740.45654296875,
23,2199,2297.08447265625,
23,2209,1607.22021484375,
23,2219,8565.1611328125,
23,2229,2012.6051025390625,
23,2239,62200.6015625,
23,2249,101741.40625,
23,2255,,10813.8916015625
24,2259,86749.09375,
24,2269,9661.0966796875,
24,2279,2023.4063720703125,
24,2289,4435.10595703125,
24,2299,7002.4951171875,
24,2309,7027.810546875,
24,2319,4233.66064453125,
24,2329,3714.406005859375,
24,2339,7183.751953125,
24,2349,1173.796630859375,
24,2349,,295.78851318359375
25,2359,1525.1422119140625,
25,2369,1999.838134765625,
25,2379,1748.158935546875,
25,2389,1220.0823974609375,
25,2399,3589.526611328125,
25,2409,4307.80078125,
25,2419,6909.63525390625,
25,2429,6013.736328125,
25,2439,1498.92529296875,
25,2443,,41.06927490234375
26,2449,5181.75439453125,
26,2459,2506.400146484375,
26,2469,2498.150146484375,
26,2479,3540.6787109375,
26,2489,3760.537109375,
26,2499,1555.995849609375,
26,2509,4774.7021484375,
26,2519,3230.091552734375,
26,2529,2036.0791015625,
26,2537,,119.89213562011719
27,2539,2800.47900390625,
27,2549,1190.448486328125,
27,2559,2151.618408203125,
27,2569,2405.20947265625,
27,2579,950.0586547851562,
27,2589,3710.95263671875,
27,2599,1440.32080078125,
27,2609,3364.484130859375,
27,2619,2044.709716796875,
27,2629,3006.97607421875,
27,2631,,49.43892288208008
28,2639,7063.96142578125,
28,2649,9101.1083984375,
28,2659,2803.33642578125,
28,2669,1986.9486083984375,
28,2679,3524.089599609375,
28,2689,6804.0107421875,
28,2699,2186.622314453125,
28,2709,4392.30029296875,
28,2719,2647.80810546875,
28,2725,,2640.09130859375
29,2729,11696.3759765625,
29,2739,11289.5107421875,
29,2749,3152.01904296875,
29,2759,2497.10888671875,
29,2769,5448.73193359375,
29,2779,5172.1064453125,
29,2789,32286.20703125,
29,2799,159185.203125,
29,2809,12839.1796875,
29,2819,10191.0205078125,
29,2819,,1308.3746337890625
30,2829,4943.31005859375,
30,2839,9756.1513671875,
30,2849,12717.4580078125,
30,2859,4268.56787109375,
30,2869,10571.419921875,
30,2879,11912.5419921875,
30,2889,8452.2763671875,
30,2899,150486.75,
30,2909,366781.1875,
30,2913,,72849.3046875
31,2919,155798.796875,
31,2929,1178357.0,
31,2939,122312.1171875,
31,2949,20898.1484375,
31,2959,18644.96484375,
31,2969,36527.31640625,
31,2979,11596.8759765625,
31,2989,11438.138671875,
31,2999,12043.60546875,
31,3007,,2152.003173828125
32,3009,31401.408203125,
32,3019,27169.85546875,
32,3029,60952.56640625,
32,3039,12140.7724609375,
32,3049,9663.537109375,
32,3059,8602.3076171875,
32,3069,11270.353515625,
32,3079,4230.70849609375,
32,3089,43525.69921875,
32,3099,17622.484375,
32,3101,,1179.3680419921875
33,3109,19205.861328125,
33,3119,32885.7890625,
33,3129,23971.19921875,
33,3139,50659.8125,
33,3149,51441.296875,
33,3159,9388.1142578125,
33,3169,14339.0712890625,
33,3179,4472.26416015625,
33,3189,18457.5625,
33,3195,,498.2942199707031
34,3199,7919.54052734375,
34,3209,18980.791015625,
34,3219,7476.31787109375,
34,3229,6372.875,
34,3239,26085.373046875,
34,3249,21023.666015625,
34,3259,9974.9296875,
34,3269,5379.34326171875,
34,3279,20766.3828125,
34,3289,12489.9765625,
34,3289,,97.12976837158203
35,3299,5322.1162109375,
35,3309,41970.84375,
35,3319,7660.3330078125,
35,3329,19598.951171875,
35,3339,16019.439453125,
35,3349,4738.083984375,
35,3359,6717.169921875,
35,3369,8848.978515625,
35,3379,9000.912109375,
35,3383,,499.9154968261719
