epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
40,3769,35009936.0,35013824.0,38898.2734375,,,
40,3779,36516152.0,36522092.0,59413.9375,,,
40,3789,31614374.0,31620436.0,60627.921875,,,
40,3799,34728960.0,34736284.0,73230.3671875,,,
40,3809,33853792.0,33857624.0,38323.953125,,,
40,3819,33527382.0,33535292.0,79100.1328125,,,
40,3829,33027030.0,33031728.0,46988.08984375,,,
40,3839,30988608.0,30995094.0,64854.59375,,,
40,3849,31726848.0,31729936.0,30882.609375,,,
40,3853,,,,33720772.0,33725716.0,49482.74609375
41,3859,32134724.0,32142678.0,79548.3984375,,,
41,3869,33044038.0,33049608.0,55694.62109375,,,
41,3879,34740024.0,34744344.0,43188.765625,,,
41,3889,33382216.0,33387344.0,51282.5703125,,,
41,3899,31243888.0,31251424.0,75368.7734375,,,
41,3909,33219014.0,33222592.0,35789.90234375,,,
41,3919,32161132.0,32167650.0,65183.54296875,,,
41,3929,34925900.0,34933140.0,72399.3359375,,,
41,3939,35306984.0,35313012.0,60279.3359375,,,
41,3947,,,,33720788.0,33725660.0,48644.2734375
42,3949,34285672.0,34291636.0,59632.3203125,,,
42,3959,32893744.0,32897304.0,35604.74609375,,,
42,3969,32732840.0,32736760.0,39205.33203125,,,
42,3979,33526470.0,33531190.0,47197.359375,,,
42,3989,32736816.0,32744000.0,71842.953125,,,
42,3999,35327264.0,35331372.0,41079.6875,,,
42,4009,34116332.0,34123680.0,73482.921875,,,
42,4019,32968284.0,32973946.0,56611.76953125,,,
42,4029,33462580.0,33467080.0,45003.94921875,,,
42,4039,34255824.0,34260600.0,47749.7890625,,,
42,4041,,,,33720792.0,33725696.0,48974.6875
43,4049,35725064.0,35731248.0,61847.484375,,,
43,4059,32542780.0,32546242.0,34611.08203125,,,
43,4069,33231144.0,33236274.0,51308.140625,,,
43,4079,33471334.0,33478190.0,68558.6015625,,,
43,4089,34269608.0,34273672.0,40649.48046875,,,
