epoch,step,train_loss,val_loss
0,49,30.66766357421875,
0,99,25.77181053161621,
0,149,21.31414794921875,
0,199,17.912967681884766,
0,249,14.51377010345459,
0,299,12.714315414428711,
0,349,9.562341690063477,
0,374,,10.012651443481445
1,399,7.467767715454102,
1,449,5.064225673675537,
1,499,3.3728604316711426,
1,549,2.795663595199585,
1,599,1.5920441150665283,
1,649,0.6189891695976257,
1,699,0.9415833950042725,
1,749,0.688896119594574,
1,749,,0.8784575462341309
2,799,0.6681155562400818,
2,849,0.2529686689376831,
2,899,0.9360427856445312,
2,949,0.5831640958786011,
2,999,0.2752724289894104,
2,1049,0.5622124671936035,
2,1099,0.6594319343566895,
2,1124,,0.3410939872264862
3,1149,0.16551008820533752,
3,1199,0.8223228454589844,
3,1249,0.4542108476161957,
3,1299,0.17100629210472107,
3,1349,0.33078286051750183,
3,1399,0.6091809868812561,
3,1449,0.633740246295929,
3,1499,0.41802871227264404,
3,1499,,0.3871593773365021
4,1549,0.1836123913526535,
4,1599,0.24828267097473145,
4,1649,0.27799534797668457,
4,1699,0.25320205092430115,
4,1749,0.5228514671325684,
4,1799,0.34348809719085693,
4,1849,0.3402690887451172,
4,1874,,0.26171648502349854
5,1899,0.1947540044784546,
5,1949,0.523870050907135,
5,1999,0.39635300636291504,
5,2049,0.261521577835083,
5,2099,0.12855984270572662,
5,2149,0.4364931583404541,
5,2199,0.2597041130065918,
5,2249,0.1690174639225006,
5,2249,,0.336056649684906
6,2299,0.26776549220085144,
6,2349,0.15117678046226501,
6,2399,0.7520519495010376,
6,2449,0.15886352956295013,
6,2499,0.48649686574935913,
6,2549,0.27437078952789307,
6,2599,0.27138572931289673,
6,2624,,0.24842722713947296
7,2649,0.1995149850845337,
7,2699,0.1993105262517929,
7,2749,0.18314418196678162,
7,2799,0.34032344818115234,
7,2849,0.5043737888336182,
7,2899,0.18238815665245056,
7,2949,0.16924312710762024,
7,2999,0.12364087998867035,
7,2999,,0.25253114104270935
8,3049,0.09029720723628998,
8,3099,0.24645762145519257,
8,3149,0.17784647643566132,
8,3199,0.15466922521591187,
8,3249,0.2092360258102417,
8,3299,0.1819118857383728,
8,3349,0.18284472823143005,
8,3374,,0.22960461676120758
9,3399,0.2540014088153839,
9,3449,0.11229598522186279,
9,3499,0.178963303565979,
9,3549,0.18106994032859802,
9,3599,0.26232439279556274,
9,3649,0.312442421913147,
9,3699,0.2688307762145996,
9,3749,0.22797136008739471,
9,3749,,0.3570665419101715
10,3799,0.28420013189315796,
10,3849,0.20127002894878387,
10,3899,0.24321448802947998,
10,3949,0.24152055382728577,
10,3999,0.15879592299461365,
10,4049,0.3605423867702484,
10,4099,0.2964731454849243,
10,4124,,0.275087833404541
11,4149,0.2782169580459595,
11,4199,0.36802029609680176,
11,4249,0.31033581495285034,
11,4299,0.21979346871376038,
11,4349,0.24508440494537354,
11,4399,0.2901555299758911,
11,4449,0.1657245010137558,
11,4499,0.3335384726524353,
11,4499,,0.13957113027572632
12,4549,0.469906210899353,
12,4599,0.3358451724052429,
12,4649,0.18971389532089233,
12,4699,0.14775089919567108,
12,4749,0.1347372978925705,
12,4799,0.22218403220176697,
12,4849,0.28385913372039795,
12,4874,,0.16422143578529358
13,4899,0.11041548103094101,
13,4949,0.1756153702735901,
13,4999,0.20089349150657654,
13,5049,0.13109204173088074,
13,5099,0.272407591342926,
13,5149,0.14867597818374634,
13,5199,0.2556374967098236,
13,5249,0.13641691207885742,
13,5249,,0.2556702196598053
14,5299,0.14309895038604736,
14,5349,0.24915580451488495,
14,5399,0.24008581042289734,
14,5449,0.2666000425815582,
14,5499,0.5719802379608154,
14,5549,0.18934214115142822,
14,5599,0.11465895175933838,
14,5624,,0.4576302468776703
15,5649,0.0990348681807518,
15,5699,0.18556201457977295,
15,5749,0.2263055145740509,
15,5799,0.1579592078924179,
15,5849,0.23777112364768982,
15,5899,0.1379866600036621,
15,5949,0.15089431405067444,
15,5999,0.30146726965904236,
15,5999,,0.44484424591064453
16,6049,0.2652587890625,
16,6099,0.26813167333602905,
16,6149,0.2311408519744873,
16,6199,0.12892888486385345,
16,6249,0.1342337429523468,
16,6299,0.12498112767934799,
16,6349,0.15643718838691711,
16,6374,,0.3130566477775574
17,6399,0.14556388556957245,
17,6449,0.26761752367019653,
17,6499,0.16378985345363617,
17,6549,0.20800364017486572,
17,6599,0.1133735179901123,
17,6649,0.1772841513156891,
17,6699,0.10501158237457275,
17,6749,0.18468523025512695,
17,6749,,0.5731558203697205
18,6799,0.1581192910671234,
18,6849,0.17876526713371277,
18,6899,0.19836565852165222,
18,6949,0.13187313079833984,
18,6999,0.2331039160490036,
18,7049,0.1553329974412918,
18,7099,0.15438827872276306,
18,7124,,0.17822405695915222
19,7149,0.1753343790769577,
19,7199,0.14819100499153137,
19,7249,0.33405348658561707,
19,7299,0.1474362015724182,
19,7349,0.18737241625785828,
19,7399,0.24173586070537567,
19,7449,0.1970391720533371,
19,7499,0.23337307572364807,
19,7499,,0.19619950652122498
