epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
11,1127,,,,33801504.0,33802132.0,6263.24462890625
12,1129,32465488.0,32468760.0,32718.892578125,,,
12,1139,33046192.0,33054618.0,84265.109375,,,
12,1149,32565736.0,32568912.0,31765.1796875,,,
12,1159,32650032.0,32659968.0,99360.46875,,,
12,1169,33430558.0,33436808.0,62505.84375,,,
12,1179,31601872.0,31604430.0,25585.533203125,,,
12,1189,33724492.0,33727588.0,30961.099609375,,,
12,1199,33287030.0,33297788.0,107581.0703125,,,
12,1209,34434440.0,34437164.0,27226.33203125,,,
12,1219,33651456.0,33655520.0,40654.23828125,,,
12,1221,,,,33798280.0,33799096.0,8179.212890625
13,1229,31411688.0,31419024.0,73352.0625,,,
13,1239,33739484.0,33742396.0,29131.048828125,,,
13,1249,33878992.0,33887692.0,86984.0390625,,,
13,1259,32663420.0,32676958.0,135370.984375,,,
13,1269,34328524.0,34329896.0,13720.3828125,,,
13,1279,34459492.0,34473748.0,142563.15625,,,
13,1289,35122216.0,35124100.0,18820.08984375,,,
13,1299,33458268.0,33468488.0,102192.5703125,,,
13,1309,33986960.0,33996380.0,94209.1796875,,,
13,1315,,,,33792676.0,33793500.0,8198.37109375
14,1319,34697240.0,34705360.0,81186.9140625,,,
14,1329,34196888.0,34198504.0,16165.7978515625,,,
14,1339,34287180.0,34289712.0,25313.142578125,,,
14,1349,31487820.0,31500040.0,122193.7109375,,,
14,1359,31399004.0,31405156.0,61521.2421875,,,
14,1369,33673140.0,33678252.0,51133.55078125,,,
14,1379,34789260.0,34798356.0,90942.8046875,,,
14,1389,31949502.0,31951210.0,17077.75,,,
14,1399,33796496.0,33804368.0,78724.0078125,,,
14,1409,34877544.0,34881740.0,41954.03125,,,
14,1409,,,,33784456.0,33785056.0,5896.7333984375
15,1419,35940848.0,35945920.0,50725.40625,,,
15,1429,32728248.0,32734074.0,58256.453125,,,
15,1439,34026976.0,34041928.0,149521.0,,,
15,1449,35839240.0,35842544.0,33037.61328125,,,
15,1459,34889496.0,34893244.0,37490.62109375,,,
15,1469,34969368.0,34982732.0,133637.296875,,,
15,1479,33468758.0,33475370.0,66116.6015625,,,
15,1489,32565472.0,32568966.0,34949.0078125,,,
15,1499,32959836.0,32966668.0,68320.484375,,,
15,1503,,,,33768588.0,33772276.0,36769.19921875
16,1509,32838710.0,32840820.0,21101.076171875,,,
16,1519,33529720.0,33540314.0,105930.5703125,,,
16,1529,33593920.0,33597140.0,32199.453125,,,
16,1539,34007304.0,34011084.0,37792.1171875,,,
16,1549,32502244.0,32507696.0,54514.57421875,,,
16,1559,34419640.0,34422868.0,32277.845703125,,,
16,1569,33202112.0,33209528.0,74169.6015625,,,
16,1579,35373472.0,35378480.0,50061.79296875,,,
16,1589,34835208.0,34859416.0,242096.203125,,,
16,1597,,,,33743396.0,33744348.0,9572.1259765625
17,1599,35812672.0,35817588.0,49154.8671875,,,
17,1609,34241104.0,34252412.0,113060.3203125,,,
17,1619,33945372.0,33963436.0,180634.609375,,,
17,1629,30980470.0,30991010.0,105406.546875,,,
17,1639,34625832.0,34633812.0,79803.34375,,,
17,1649,35522976.0,35526456.0,34808.48046875,,,
17,1659,32424044.0,32429740.0,56962.09765625,,,
17,1669,32444652.0,32448128.0,34763.375,,,
17,1679,36069920.0,36094568.0,246470.484375,,,
17,1689,31379936.0,31386864.0,69282.84375,,,
17,1691,,,,33709752.0,33710500.0,7396.67578125
18,1699,32392684.0,32421484.0,287991.03125,,,
18,1709,32721948.0,32735710.0,137622.828125,,,
18,1719,32185496.0,32196836.0,113402.84375,,,
18,1729,31866598.0,31869362.0,27640.64453125,,,
18,1739,34235940.0,34238224.0,22827.185546875,,,
18,1749,33311064.0,33313868.0,28044.44921875,,,
18,1759,34026008.0,34035496.0,94892.25,,,
18,1769,32087436.0,32096538.0,91026.796875,,,
18,1779,35401192.0,35413204.0,120128.1015625,,,
18,1785,,,,33674364.0,33675092.0,7293.701171875
19,1789,32464784.0,32471710.0,69252.03125,,,
19,1799,32139372.0,32142624.0,32529.330078125,,,
19,1809,31956630.0,31972586.0,159557.46875,,,
19,1819,34602632.0,34604820.0,21872.724609375,,,
19,1829,32124432.0,32133648.0,92156.1015625,,,
19,1839,33811852.0,33823500.0,116489.953125,,,
19,1849,31480268.0,31485676.0,54076.66796875,,,
19,1859,36249344.0,36262520.0,131749.625,,,
19,1869,33873832.0,33875264.0,14302.15625,,,
19,1879,33159672.0,33170434.0,107617.2109375,,,
19,1879,,,,33636824.0,33638516.0,16817.29296875
20,1889,34161492.0,34165016.0,35256.60546875,,,
20,1899,33681016.0,33690336.0,93196.140625,,,
20,1909,34042576.0,34044048.0,14735.0146484375,,,
20,1919,34664088.0,34680488.0,164015.921875,,,
20,1929,34513016.0,34515548.0,25321.125,,,
20,1939,32052326.0,32070514.0,181874.03125,,,
20,1949,35721276.0,35726084.0,48077.1015625,,,
20,1959,31140438.0,31145950.0,55121.65234375,,,
20,1969,33520726.0,33526774.0,60481.28515625,,,
20,1973,,,,33580512.0,33591816.0,113147.0859375
21,1979,33335020.0,33811880.0,4768606.0,,,
21,1989,33817784.0,33874104.0,563213.625,,,
21,1999,34555080.0,34570680.0,156002.421875,,,
21,2009,35269644.0,35278008.0,83654.8828125,,,
21,2019,32255484.0,32264824.0,93393.0390625,,,
21,2029,31541360.0,31543714.0,23544.818359375,,,
21,2039,33157920.0,33161582.0,36614.6796875,,,
21,2049,36251960.0,36255756.0,37954.87890625,,,
21,2059,31737476.0,31739924.0,24470.716796875,,,
21,2067,,,,33579564.0,33580012.0,4436.40771484375
22,2069,31018894.0,31019616.0,7211.41064453125,,,
22,2079,34329544.0,34331108.0,15635.876953125,,,
22,2089,33143732.0,33155744.0,120124.734375,,,
22,2099,32463430.0,32468460.0,50290.2734375,,,
22,2109,33121660.0,33125780.0,41200.13671875,,,
22,2119,35303972.0,35305708.0,17370.515625,,,
22,2129,32057072.0,32058708.0,16362.943359375,,,
22,2139,31697078.0,31700210.0,31318.482421875,,,
22,2149,32966096.0,32970832.0,47367.22265625,,,
22,2159,33698704.0,33700224.0,15183.6923828125,,,
22,2161,,,,33555016.0,33555332.0,3101.44921875
23,2169,32342160.0,32344470.0,23100.876953125,,,
23,2179,34371264.0,34380124.0,88605.4453125,,,
23,2189,32018126.0,32019032.0,9068.78515625,,,
23,2199,35317852.0,35319448.0,15947.458984375,,,
23,2209,32679988.0,32684204.0,42169.75,,,
23,2219,31898262.0,31900644.0,23815.060546875,,,
23,2229,32353344.0,32363986.0,106414.078125,,,
23,2239,34532008.0,34534564.0,25572.359375,,,
23,2249,32765056.0,32766850.0,17930.0234375,,,
23,2255,,,,33534018.0,33534324.0,2981.568359375
24,2259,34428408.0,34430004.0,15964.001953125,,,
24,2269,34613704.0,34631928.0,182245.796875,,,
24,2279,32036878.0,32038880.0,20010.83984375,,,
24,2289,34684016.0,34687220.0,32035.080078125,,,
24,2299,34751768.0,34757636.0,58681.265625,,,
24,2309,31970140.0,31974392.0,42521.35546875,,,
24,2319,34595268.0,34601764.0,64978.1015625,,,
24,2329,32464188.0,32471018.0,68302.9609375,,,
24,2339,34422232.0,34425116.0,28841.279296875,,,
24,2349,33793296.0,33796184.0,28894.93359375,,,
24,2349,,,,33508344.0,33509016.0,6739.08642578125
25,2359,35504776.0,35505788.0,10130.4951171875,,,
25,2369,32384008.0,32386342.0,23331.7421875,,,
25,2379,32430310.0,32432552.0,22418.376953125,,,
25,2389,29610518.0,29612400.0,18829.78515625,,,
25,2399,30661852.0,30667906.0,60533.78515625,,,
25,2409,33000294.0,33003518.0,32241.845703125,,,
25,2419,34647408.0,34649336.0,19272.935546875,,,
25,2429,34225912.0,34233772.0,78586.828125,,,
25,2439,33339974.0,33345078.0,51042.58203125,,,
25,2443,,,,33476588.0,33477856.0,12707.2109375
26,2449,35036600.0,35040836.0,42363.21484375,,,
26,2459,34688088.0,34691672.0,35826.3828125,,,
26,2469,33535936.0,33542988.0,70529.8515625,,,
26,2479,32570060.0,32577512.0,74527.8671875,,,
26,2489,30081956.0,30087660.0,57043.12109375,,,
26,2499,35445424.0,35458768.0,133435.859375,,,
26,2509,32961400.0,32976026.0,146266.859375,,,
26,2519,33933700.0,33938340.0,46385.5,,,
26,2529,31960942.0,31965668.0,47255.2890625,,,
26,2537,,,,33458562.0,33459894.0,13385.4345703125
27,2539,32841408.0,32848824.0,74151.296875,,,
27,2549,34564420.0,34571832.0,74123.40625,,,
27,2559,33617612.0,33623932.0,63180.7890625,,,
27,2569,33568928.0,33573128.0,41982.94140625,,,
27,2579,33295654.0,33296222.0,5688.7587890625,,,
27,2589,35070880.0,35081104.0,102251.234375,,,
27,2599,30055374.0,30063876.0,85013.4609375,,,
27,2609,31688032.0,31690514.0,24812.76953125,,,
27,2619,32499680.0,32504324.0,46446.296875,,,
27,2629,31442854.0,31445390.0,25357.9296875,,,
27,2631,,,,33431372.0,33431500.0,1329.3642578125
28,2639,31594716.0,31602840.0,81230.1328125,,,
28,2649,32291172.0,32302084.0,109114.0078125,,,
28,2659,31536428.0,31540242.0,38135.8515625,,,
28,2669,33862080.0,33867228.0,51485.13671875,,,
28,2679,32338972.0,32340482.0,15105.84375,,,
28,2689,33511868.0,33529768.0,179003.015625,,,
28,2699,30605756.0,30608432.0,26761.4453125,,,
28,2709,36171548.0,36176048.0,44992.35546875,,,
28,2719,33719968.0,33721272.0,13047.4541015625,,,
28,2725,,,,33406242.0,33406616.0,3730.309326171875
29,2729,31161398.0,31164292.0,28932.29296875,,,
29,2739,33382476.0,33386182.0,37053.59765625,,,
29,2749,35505416.0,35508112.0,26952.39453125,,,
29,2759,34742064.0,34763496.0,214323.390625,,,
29,2769,31928302.0,35758168.0,38298660.0,,,
29,2779,33792724.0,102079696.0,682869632.0,,,
29,2789,33422500.0,41581936.0,81594344.0,,,
29,2799,32518276.0,33136822.0,6185462.0,,,
29,2809,31962934.0,32169230.0,2062955.375,,,
29,2819,33760704.0,33924812.0,1641084.25,,,
29,2819,,,,33470816.0,33714224.0,2434085.0
30,2829,32558348.0,32712298.0,1539509.25,,,
30,2839,32368622.0,32513294.0,1446719.5,,,
30,2849,32448054.0,32590660.0,1426060.25,,,
30,2859,34471992.0,34604936.0,1329450.125,,,
30,2869,33565152.0,33788376.0,2232227.0,,,
30,2879,31589868.0,31846372.0,2565047.0,,,
30,2889,32889286.0,32956912.0,676252.75,,,
30,2899,33687792.0,33807132.0,1193397.0,,,
30,2909,32035832.0,32197548.0,1617161.875,,,
30,2913,,,,33457662.0,33465390.0,77252.21875
31,2919,31677152.0,31833332.0,1561791.125,,,
31,2929,31879076.0,32129532.0,2504551.25,,,
31,2939,33975692.0,34081136.0,1054433.5,,,
31,2949,31405992.0,31468212.0,622192.625,,,
31,2959,32703678.0,32925178.0,2215003.25,,,
31,2969,32491460.0,32664454.0,1729945.375,,,
31,2979,35192784.0,35338512.0,1457293.25,,,
31,2989,32524622.0,32703708.0,1790856.5,,,
31,2999,33779720.0,33910720.0,1309995.625,,,
31,3007,,,,33460114.0,33464670.0,45574.671875
32,3009,32310432.0,32483428.0,1729963.25,,,
32,3019,34695656.0,34825056.0,1294009.25,,,
32,3029,32107468.0,32169934.0,624667.3125,,,
32,3039,35832316.0,35956572.0,1242563.375,,,
32,3049,35713644.0,35752740.0,390961.3125,,,
32,3059,34862844.0,34983224.0,1203795.125,,,
32,3069,32525372.0,32573700.0,483284.0,,,
32,3079,34506784.0,34534940.0,281549.3125,,,
32,3089,33734244.0,33745916.0,116703.3046875,,,
32,3099,32479564.0,32588842.0,1092771.25,,,
32,3101,,,,33464798.0,33467296.0,24933.228515625
33,3109,34079084.0,34123616.0,445314.9375,,,
33,3119,34296192.0,34327368.0,311761.90625,,,
33,3129,32682752.0,32734666.0,519141.53125,,,
33,3139,32488180.0,32613642.0,1254620.25,,,
33,3149,34222716.0,34260816.0,380994.25,,,
33,3159,32813584.0,32840080.0,264957.53125,,,
33,3169,32191142.0,32214188.0,230460.796875,,,
33,3179,33635500.0,33700700.0,651987.0625,,,
33,3189,31552348.0,31571900.0,195515.8125,,,
33,3195,,,,33464670.0,33467170.0,24951.86328125
34,3199,35453644.0,35508004.0,543585.4375,,,
34,3209,34502820.0,34543328.0,405067.90625,,,
34,3219,32792752.0,32851888.0,591362.0,,,
34,3229,35362028.0,35460716.0,986881.4375,,,
34,3239,31657020.0,31690874.0,338535.125,,,
34,3249,33713136.0,33741004.0,278688.25,,,
34,3259,32782764.0,32816220.0,334567.90625,,,
34,3269,34169080.0,34194512.0,254338.328125,,,
34,3279,32904518.0,32986092.0,815730.75,,,
34,3289,33647924.0,33673452.0,255270.125,,,
34,3289,,,,33467236.0,33469060.0,18188.009765625
35,3299,33631172.0,33694132.0,629606.125,,,
35,3309,32583046.0,32610164.0,271187.125,,,
35,3319,35338944.0,35358416.0,194700.203125,,,
35,3329,31850464.0,31911756.0,612919.0625,,,
35,3339,33345958.0,33358634.0,126758.9453125,,,
35,3349,32654086.0,32704856.0,507707.53125,,,
35,3359,34040232.0,34101116.0,608820.25,,,
35,3369,35903848.0,35938896.0,350467.0,,,
35,3379,31977756.0,32011482.0,337261.5,,,
35,3383,,,,33448372.0,33453970.0,55914.68359375
36,3389,35381056.0,35399188.0,181336.125,,,
36,3399,34611672.0,34625824.0,141536.453125,,,
36,3409,33099478.0,33121684.0,222053.34375,,,
36,3419,35960036.0,35977536.0,175004.890625,,,
36,3429,34748288.0,34772716.0,244272.375,,,
36,3439,35824296.0,35830212.0,59153.94140625,,,
36,3449,33490382.0,33500218.0,98361.6640625,,,
36,3459,33466200.0,33476210.0,100100.0,,,
36,3469,33155688.0,33161812.0,61237.3671875,,,
36,3477,,,,33454470.0,33456650.0,21695.271484375
37,3479,31308812.0,31319904.0,110914.9140625,,,
37,3489,34634808.0,34639512.0,47059.31640625,,,
37,3499,32865438.0,32870368.0,49304.98828125,,,
37,3509,35065648.0,35072892.0,72439.4140625,,,
37,3519,32891942.0,32895878.0,39351.15625,,,
37,3529,33248406.0,33256102.0,76966.640625,,,
37,3539,32386824.0,32397282.0,104583.0703125,,,
37,3549,34896316.0,34901208.0,48926.890625,,,
37,3559,33732876.0,33736620.0,37456.5546875,,,
37,3569,35515576.0,35522520.0,69430.9765625,,,
37,3571,,,,33423960.0,33424868.0,9113.7666015625
38,3579,35589224.0,35594944.0,57217.8671875,,,
38,3589,31502844.0,31515822.0,129785.4296875,,,
38,3599,34355284.0,34360516.0,52339.171875,,,
38,3609,34465308.0,34467916.0,26098.853515625,,,
38,3619,35241876.0,35245524.0,36469.3828125,,,
38,3629,32021936.0,32025012.0,30766.732421875,,,
38,3639,32998052.0,33024264.0,262126.765625,,,
38,3649,35065760.0,35074812.0,90526.2734375,,,
38,3659,32923552.0,32929560.0,60070.234375,,,
38,3665,,,,33365560.0,33383064.0,175119.75
39,3669,34959800.0,34963232.0,34306.59375,,,
39,3679,32112614.0,32116484.0,38692.62109375,,,
39,3689,32217232.0,32222992.0,57607.79296875,,,
39,3699,34322712.0,34331668.0,89571.6328125,,,
39,3709,34590920.0,34601812.0,108920.6640625,,,
39,3719,31434374.0,31445126.0,107520.328125,,,
39,3729,32734536.0,32735948.0,14112.287109375,,,
39,3739,35101164.0,35107392.0,62260.234375,,,
39,3749,30119942.0,30135008.0,150665.484375,,,
39,3759,34335216.0,34339772.0,45550.94140625,,,
39,3759,,,,33315352.0,33316514.0,11580.798828125
40,3769,34912144.0,34914736.0,25909.453125,,,
40,3779,30443318.0,30445146.0,18270.44140625,,,
40,3789,31733948.0,31747006.0,130574.34375,,,
40,3799,32328094.0,32342806.0,147112.421875,,,
40,3809,33701020.0,33707844.0,68255.8515625,,,
40,3819,32400848.0,32409750.0,89013.5625,,,
40,3829,32571182.0,32588814.0,176327.671875,,,
40,3839,33756492.0,33777384.0,208926.40625,,,
40,3849,33620616.0,33686312.0,656956.125,,,
40,3853,,,,33276630.0,33277442.0,8122.83642578125
41,3859,33231548.0,33250534.0,189864.125,,,
41,3869,32820982.0,34154136.0,13331556.0,,,
41,3879,33304726.0,34983852.0,16791278.0,,,
41,3889,31492752.0,31536234.0,434819.65625,,,
41,3899,32528524.0,32671260.0,1427352.125,,,
41,3909,31809950.0,31817904.0,79537.0625,,,
41,3919,32911302.0,32920304.0,90015.328125,,,
