epoch,step,train_loss,val_loss
0,9,36940476.0,
0,12,,34030144.0
1,19,36109552.0,
1,25,,33409176.0
2,29,31641608.0,
2,38,,31236398.0
3,39,31807734.0,
3,49,26029140.0,
3,51,,25381842.0
4,59,18952640.0,
4,64,,14517303.0
5,69,10106994.0,
5,77,,2271365.75
6,79,1774189.0,
6,89,815255.0,
6,90,,923586.75
7,99,545141.6875,
7,103,,339564.1875
8,109,276025.875,
8,116,,339660.03125
9,119,448623.5,
9,129,226940.0,
9,129,,284962.15625
10,139,257651.0,
10,142,,288622.59375
11,149,212875.671875,
11,155,,279202.59375
12,159,377990.6875,
12,168,,279563.09375
13,169,242126.75,
13,179,368553.0,
13,181,,279500.6875
14,189,348392.875,
14,194,,277724.75
15,199,499040.34375,
15,207,,278387.46875
16,209,256362.859375,
16,219,341744.25,
16,220,,276167.84375
17,229,199296.421875,
17,233,,275414.71875
18,239,500110.59375,
18,246,,274381.15625
19,249,202162.421875,
19,259,294014.96875,
19,259,,273362.8125
20,269,262725.59375,
20,272,,272704.6875
21,279,198541.875,
21,285,,271380.6875
22,289,274369.0625,
22,298,,270167.125
23,299,118572.9921875,
23,309,330173.0,
23,311,,269611.40625
24,319,346566.875,
24,324,,269292.125
25,329,300850.84375,
25,337,,267630.6875
26,339,347772.25,
26,349,255285.984375,
26,350,,267125.6875
27,359,397460.09375,
27,363,,265333.46875
28,369,211936.6875,
28,376,,264539.125
29,379,166452.640625,
29,389,258509.234375,
29,389,,263533.9375
30,399,290207.5625,
30,402,,262153.75
31,409,295201.125,
31,415,,261301.046875
32,419,278825.5,
32,428,,259717.984375
33,429,205692.46875,
33,439,330353.09375,
33,441,,259645.234375
34,449,133777.21875,
34,454,,257759.578125
35,459,339626.84375,
35,467,,256755.953125
36,469,319811.75,
36,479,156696.6875,
36,480,,254949.28125
37,489,302735.25,
37,493,,254527.734375
38,499,235497.15625,
38,506,,253302.015625
39,509,360375.8125,
39,519,298537.40625,
39,519,,251750.875
40,529,420320.09375,
40,532,,251993.0625
41,539,171581.984375,
41,545,,249284.9375
42,549,344001.90625,
42,558,,249115.21875
43,559,270635.9375,
43,569,254322.03125,
43,571,,247613.1875
44,579,279558.3125,
44,584,,247492.046875
45,589,379817.75,
45,597,,244905.953125
46,599,251381.9375,
46,609,301516.59375,
46,610,,244145.0
47,619,229926.375,
47,623,,242424.4375
48,629,310204.71875,
48,636,,241434.734375
49,639,261982.34375,
49,649,235007.0625,
49,649,,239907.59375
50,659,191738.859375,
50,662,,239792.125
51,669,209473.34375,
51,675,,239096.4375
52,679,360747.09375,
52,688,,236990.6875
53,689,172673.03125,
53,699,262356.84375,
53,701,,236130.734375
54,709,162764.5625,
54,714,,234398.234375
55,719,139627.734375,
55,727,,235260.953125
56,729,271750.25,
56,739,240897.4375,
56,740,,231968.84375
57,749,227899.125,
57,753,,232047.875
58,759,158572.46875,
58,766,,229271.703125
59,769,275720.09375,
59,779,187619.5,
59,779,,229518.578125
60,789,241941.34375,
60,792,,228289.359375
61,799,296279.875,
61,805,,226102.203125
62,809,200226.0625,
62,818,,225068.296875
63,819,389450.125,
63,829,300875.59375,
63,831,,224549.625
64,839,282770.71875,
64,844,,223050.375
65,849,229792.09375,
65,857,,224567.078125
66,859,252313.84375,
66,869,210839.8125,
66,870,,221045.921875
67,879,106659.78125,
67,883,,220233.40625
68,889,229209.625,
68,896,,218865.84375
69,899,233409.359375,
69,909,298128.5,
69,909,,217979.71875
70,919,163113.0,
70,922,,217439.484375
71,929,208975.96875,
71,935,,215849.921875
72,939,330151.3125,
72,948,,217489.34375
73,949,186367.46875,
73,959,198331.09375,
73,961,,213405.265625
74,969,131898.109375,
74,974,,213479.234375
75,979,154836.8125,
75,987,,214923.625
76,989,279314.125,
76,999,249251.34375,
76,1000,,209711.0625
77,1009,311413.8125,
77,1013,,208964.453125
78,1019,175902.90625,
78,1026,,213516.78125
79,1029,339898.84375,
79,1039,284215.5625,
79,1039,,206971.640625
80,1049,168881.109375,
80,1052,,206312.703125
81,1059,232190.671875,
81,1065,,205808.203125
82,1069,212149.859375,
82,1078,,205074.359375
83,1079,219006.375,
83,1089,141937.21875,
83,1091,,203608.15625
84,1099,198815.34375,
84,1104,,202477.984375
85,1109,161452.609375,
85,1117,,204227.78125
86,1119,239772.25,
86,1129,261810.796875,
86,1130,,200853.125
87,1139,204801.3125,
87,1143,,202426.5625
88,1149,157343.9375,
88,1156,,199078.046875
89,1159,229440.171875,
89,1169,267496.3125,
89,1169,,198446.875
90,1179,275929.125,
90,1182,,197120.625
91,1189,255432.65625,
91,1195,,196390.0
92,1199,257781.46875,
92,1208,,196104.4375
93,1209,287295.71875,
93,1219,139427.84375,
93,1221,,194448.5625
94,1229,187553.6875,
94,1234,,196051.859375
95,1239,274994.1875,
95,1247,,193718.125
96,1249,136052.25,
96,1259,208869.5625,
96,1260,,192055.484375
97,1269,175255.4375,
97,1273,,197393.15625
98,1279,206870.8125,
98,1286,,192287.578125
99,1289,304647.9375,
99,1299,212194.171875,
99,1299,,196843.4375
100,1309,187078.421875,
100,1312,,189287.859375
101,1319,183700.875,
101,1325,,189924.4375
102,1329,225986.46875,
102,1338,,189680.65625
103,1339,206818.625,
103,1349,248800.34375,
103,1351,,187816.4375
104,1359,287350.9375,
104,1364,,188119.28125
105,1369,200998.3125,
105,1377,,187109.59375
106,1379,221048.109375,
106,1389,179041.375,
106,1390,,186739.6875
107,1399,186093.859375,
107,1403,,185309.078125
108,1409,204141.09375,
108,1416,,189416.859375
109,1419,195612.96875,
109,1429,166663.5,
109,1429,,186961.625
110,1439,250115.21875,
110,1442,,183308.046875
111,1449,246985.75,
111,1455,,183537.28125
112,1459,197786.09375,
112,1468,,182770.9375
113,1469,196812.46875,
113,1479,218937.0,
113,1481,,182360.5
114,1489,179948.96875,
114,1494,,186100.5
115,1499,208479.34375,
115,1507,,181210.921875
116,1509,171542.46875,
116,1519,176839.5625,
116,1520,,180818.578125
117,1529,159286.9375,
117,1533,,179471.71875
118,1539,220174.03125,
118,1546,,180944.859375
119,1549,169180.65625,
119,1559,201840.96875,
119,1559,,182360.453125
120,1569,182565.859375,
120,1572,,179185.6875
121,1579,164657.8125,
121,1585,,179128.234375
122,1589,255556.46875,
122,1598,,178575.453125
123,1599,182394.046875,
123,1609,167487.9375,
123,1611,,182502.375
124,1619,251122.671875,
124,1624,,178072.1875
125,1629,111221.4609375,
125,1637,,177139.765625
126,1639,155623.625,
126,1649,224984.34375,
126,1650,,178467.421875
127,1659,283119.0,
127,1663,,182055.578125
128,1669,176352.875,
128,1676,,176536.0625
129,1679,258963.796875,
129,1689,147429.734375,
129,1689,,177768.3125
130,1699,183698.21875,
130,1702,,187436.765625
131,1709,192629.46875,
131,1715,,176720.78125
132,1719,170822.265625,
132,1728,,175846.40625
133,1729,180777.796875,
133,1739,221540.421875,
133,1741,,176541.578125
134,1749,157567.84375,
134,1754,,175091.34375
135,1759,168082.0625,
135,1767,,174922.765625
136,1769,182538.5,
136,1779,141361.4375,
136,1780,,175644.59375
137,1789,223760.171875,
137,1793,,175068.078125
138,1799,212719.59375,
138,1806,,174022.375
139,1809,249779.046875,
139,1819,273415.3125,
139,1819,,175591.125
140,1829,228597.5,
140,1832,,180064.78125
141,1839,148089.171875,
141,1845,,174039.84375
142,1849,137518.328125,
142,1858,,173565.78125
143,1859,220745.8125,
143,1869,157200.78125,
143,1871,,174116.875
144,1879,179730.296875,
144,1884,,175066.1875
145,1889,244444.40625,
145,1897,,178275.375
146,1899,214501.296875,
146,1909,189807.875,
146,1910,,173496.34375
147,1919,224941.84375,
147,1923,,173404.125
148,1929,138278.3125,
148,1936,,174033.09375
149,1939,172481.3125,
149,1949,194591.84375,
149,1949,,192424.84375
150,1959,185897.796875,
150,1962,,173039.421875
151,1969,185318.6875,
151,1975,,173971.359375
152,1979,117947.96875,
152,1988,,173007.3125
153,1989,166321.34375,
153,1999,150869.09375,
153,2001,,173422.515625
154,2009,231756.21875,
154,2014,,172495.0
155,2019,198100.4375,
155,2027,,177166.984375
156,2029,138341.859375,
156,2039,206019.75,
156,2040,,176207.625
157,2049,140586.609375,
157,2053,,174142.078125
158,2059,151244.15625,
158,2066,,177256.5
159,2069,145989.125,
159,2079,218778.0625,
159,2079,,174283.8125
160,2089,205430.03125,
160,2092,,176768.234375
161,2099,159368.921875,
161,2105,,172588.5625
162,2109,163136.828125,
162,2118,,173646.765625
163,2119,214423.5,
163,2129,313510.90625,
163,2131,,172092.84375
164,2139,104000.46875,
164,2144,,179832.5625
165,2149,227411.6875,
165,2157,,172021.484375
166,2159,168615.859375,
166,2169,153914.90625,
166,2170,,172355.734375
167,2179,108060.7734375,
167,2183,,172031.6875
168,2189,164702.046875,
168,2196,,172478.796875
169,2199,187354.96875,
169,2209,208278.34375,
169,2209,,172996.640625
170,2219,278941.75,
170,2222,,172155.5625
171,2229,215995.859375,
171,2235,,172240.0
172,2239,190569.9375,
172,2248,,174716.4375
173,2249,277292.3125,
173,2259,162403.5625,
173,2261,,172378.984375
174,2269,128660.75,
174,2274,,171770.4375
175,2279,161819.0625,
175,2287,,171934.578125
176,2289,232063.671875,
176,2299,204143.421875,
176,2300,,189079.453125
177,2309,157947.4375,
177,2313,,176536.0625
178,2319,257703.96875,
178,2326,,173113.703125
179,2329,173363.625,
179,2339,205207.46875,
179,2339,,172210.625
180,2349,137060.96875,
180,2352,,175381.546875
181,2359,226059.109375,
181,2365,,171909.375
182,2369,170370.25,
182,2378,,176244.3125
183,2379,187520.3125,
183,2389,225902.03125,
183,2391,,173003.203125
184,2399,200349.40625,
184,2404,,171898.484375
185,2409,111688.609375,
185,2417,,172747.6875
186,2419,205682.59375,
186,2429,149147.359375,
186,2430,,171582.34375
187,2439,188389.75,
187,2443,,175138.046875
188,2449,157220.0625,
188,2456,,173429.59375
189,2459,144554.90625,
189,2469,166138.46875,
189,2469,,174156.6875
190,2479,220161.0,
190,2482,,171303.34375
191,2489,134848.859375,
191,2495,,178118.859375
192,2499,191890.109375,
192,2508,,173410.140625
193,2509,114975.203125,
193,2519,102605.578125,
193,2521,,173349.90625
194,2529,220219.34375,
194,2534,,171315.953125
195,2539,192793.625,
195,2547,,172476.9375
196,2549,162400.75,
196,2559,179114.25,
196,2560,,174463.203125
197,2569,225086.625,
197,2573,,177117.046875
198,2579,123182.8125,
198,2586,,173330.9375
199,2589,245468.359375,
199,2599,207975.875,
199,2599,,174065.796875
200,2609,152855.9375,
200,2612,,171996.4375
201,2619,183079.9375,
201,2625,,172826.265625
202,2629,224868.796875,
202,2638,,173763.359375
203,2639,175177.09375,
203,2649,238670.34375,
203,2651,,173942.1875
204,2659,142078.96875,
204,2664,,172912.625
205,2669,152574.265625,
205,2677,,174469.859375
206,2679,173544.84375,
206,2689,193430.625,
206,2690,,177624.140625
207,2699,205836.625,
207,2703,,173420.140625
208,2709,229473.59375,
208,2716,,183408.65625
209,2719,175196.28125,
209,2729,180123.921875,
209,2729,,177985.578125
210,2739,271695.625,
210,2742,,173728.625
