epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,31702320.0,31778962.0,766428.0,,,
0,19,36975648.0,37203240.0,2275920.0,,,
0,29,33484592.0,33485216.0,6244.9560546875,,,
0,39,32323884.0,32328520.0,46368.515625,,,
0,49,33930944.0,33931408.0,4622.73583984375,,,
0,59,34558080.0,34559064.0,9823.8408203125,,,
0,69,33618432.0,33620556.0,21228.26171875,,,
0,79,34838540.0,34841488.0,29499.259765625,,,
0,89,34383400.0,34383656.0,2542.488525390625,,,
0,93,,,,33905732.0,33909188.0,34456.68359375
1,99,30944704.0,30945362.0,6578.79150390625,,,
1,109,31327008.0,31327826.0,8170.96484375,,,
1,119,32037052.0,32039216.0,21647.791015625,,,
1,129,32099766.0,32120400.0,206349.671875,,,
1,139,36592248.0,36702244.0,1099954.0,,,
1,149,30556614.0,30599944.0,433291.625,,,
1,159,33778348.0,33822944.0,445956.40625,,,
1,169,33439046.0,33444396.0,53496.015625,,,
1,179,36919036.0,36921768.0,27331.81640625,,,
1,187,,,,33896580.0,34006580.0,1099911.875
2,189,33457990.0,33461492.0,35011.1015625,,,
2,199,34325360.0,34326736.0,13770.0556640625,,,
2,209,35190952.0,35223216.0,322622.03125,,,
2,219,34107736.0,34118600.0,108651.796875,,,
2,229,33863080.0,33869028.0,59467.93359375,,,
2,239,33599708.0,33605392.0,56852.2734375,,,
2,249,33575036.0,33577788.0,27532.970703125,,,
2,259,34725892.0,34732704.0,68130.3671875,,,
2,269,33971568.0,33976420.0,48512.58203125,,,
2,279,34887952.0,34891228.0,32778.90625,,,
2,281,,,,33903732.0,33905524.0,17850.0859375
3,289,33227174.0,33230030.0,28552.728515625,,,
3,299,34114024.0,34117736.0,37114.1171875,,,
3,309,33287068.0,33290470.0,34026.44921875,,,
3,319,36435272.0,36437864.0,25931.93359375,,,
3,329,33107052.0,33108734.0,16829.63671875,,,
3,339,34145264.0,34148884.0,36189.984375,,,
3,349,35903144.0,35921704.0,185597.40625,,,
3,359,34251876.0,34302532.0,506542.8125,,,
3,369,34256592.0,34658560.0,4019697.0,,,
3,375,,,,33901428.0,34760444.0,8590318.0
4,379,34396928.0,35741048.0,13441216.0,,,
4,389,32109772.0,33146804.0,10370319.0,,,
4,399,34807088.0,35766668.0,9595782.0,,,
4,409,33201004.0,34016456.0,8154537.5,,,
4,419,36598328.0,37651580.0,10532504.0,,,
4,429,32229088.0,33077656.0,8485686.0,,,
4,439,35732976.0,37839232.0,21062580.0,,,
4,449,34855112.0,35850148.0,9950357.0,,,
4,459,34599024.0,37933008.0,33339824.0,,,
4,469,33655936.0,35174728.0,15187915.0,,,
4,469,,,,33903936.0,35017312.0,11133752.0
5,479,32864176.0,36519080.0,36549036.0,,,
5,489,33177452.0,36937176.0,37597244.0,,,
5,499,35800152.0,36644448.0,8442967.0,,,
5,509,33391366.0,34990444.0,15990781.0,,,
5,519,36462164.0,40199404.0,37372412.0,,,
5,529,31436540.0,33283820.0,18472800.0,,,
5,539,32965100.0,35792600.0,28274994.0,,,
5,549,34746440.0,36005372.0,12589301.0,,,
5,559,36512968.0,38097376.0,15844098.0,,,
5,563,,,,33904152.0,37109388.0,32052406.0
6,569,34024448.0,36502584.0,24781348.0,,,
6,579,34652772.0,35893712.0,12409403.0,,,
6,589,34077280.0,35178368.0,11010886.0,,,
6,599,34551488.0,38108764.0,35572776.0,,,
6,609,34100120.0,36065572.0,19654530.0,,,
6,619,33326972.0,34951212.0,16242406.0,,,
6,629,34400720.0,36030192.0,16294734.0,,,
6,639,35582720.0,36557892.0,9751733.0,,,
6,649,33340156.0,34865032.0,15248756.0,,,
6,657,,,,33904016.0,35212720.0,13087105.0
7,659,33338716.0,35071108.0,17323918.0,,,
7,669,30998464.0,32139174.0,11407097.0,,,
7,679,32244400.0,34188924.0,19445248.0,,,
7,689,33194032.0,35569544.0,23755114.0,,,
7,699,33743408.0,35568312.0,18249020.0,,,
7,709,35503732.0,40668724.0,51649916.0,,,
7,719,34322460.0,36284704.0,19622442.0,,,
7,729,34925972.0,37189132.0,22631590.0,,,
7,739,35106944.0,37498800.0,23918554.0,,,
7,749,34837312.0,36735096.0,18977856.0,,,
7,751,,,,33903904.0,35496916.0,15930323.0
8,759,35947760.0,37872528.0,19247690.0,,,
8,769,36191104.0,37989908.0,17988038.0,,,
8,779,33718052.0,35719264.0,20012100.0,,,
8,789,33237296.0,34900300.0,16630031.0,,,
8,799,34142476.0,36021152.0,18786780.0,,,
8,809,33269904.0,34806672.0,15367680.0,,,
8,819,33134604.0,33984448.0,8498446.0,,,
8,829,32571280.0,33942040.0,13707590.0,,,
8,839,34572240.0,35956808.0,13845683.0,,,
8,845,,,,33903920.0,35712400.0,18084872.0
9,849,36183168.0,37771100.0,15879310.0,,,
9,859,32563094.0,33268272.0,7051780.0,,,
9,869,33528238.0,35359016.0,18307774.0,,,
9,879,34104608.0,35321136.0,12165276.0,,,
9,889,34146712.0,36441984.0,22952730.0,,,
9,899,35061692.0,36759000.0,16973094.0,,,
9,909,33067900.0,34383620.0,13157203.0,,,
9,919,33861948.0,35132628.0,12706807.0,,,
9,929,35365968.0,37859840.0,24938738.0,,,
9,939,33186270.0,34950264.0,17639920.0,,,
9,939,,,,33904104.0,36102516.0,21984068.0
10,949,33135590.0,33881640.0,7460498.0,,,
10,959,35024716.0,37094128.0,20694140.0,,,
10,969,33042878.0,33915540.0,8726628.0,,,
10,979,34674896.0,36392044.0,17171486.0,,,
10,989,36916324.0,39719372.0,28030490.0,,,
10,999,35412996.0,36799316.0,13863217.0,,,
10,1009,35514796.0,36653384.0,11385898.0,,,
10,1019,32300444.0,33429916.0,11294717.0,,,
10,1029,35615192.0,36874992.0,12598016.0,,,
10,1033,,,,33903948.0,nan,nan
