epoch,step,train_loss,val_loss
0,9,32029326.0,
0,18,,33820096.0
1,19,31692966.0,
1,29,34043308.0,
1,37,,33717564.0
2,39,34449928.0,
2,49,30820838.0,
2,56,,33434334.0
3,59,33244830.0,
3,69,34697568.0,
3,75,,33180576.0
4,79,32334374.0,
4,89,32309920.0,
4,94,,32453314.0
5,99,32522832.0,
5,109,31463088.0,
5,113,,31278606.0
6,119,30533812.0,
6,129,26881380.0,
6,132,,29726584.0
7,139,29510470.0,
7,149,27792640.0,
7,151,,28194360.0
8,159,27088720.0,
8,169,24691652.0,
8,170,,25505604.0
9,179,24155552.0,
9,189,22922020.0,
9,189,,22133504.0
10,199,19123796.0,
10,208,,19822036.0
11,209,18369324.0,
11,219,15950363.0,
11,227,,15980815.0
12,229,13412736.0,
12,239,13859099.0,
12,246,,12841630.0
13,249,10740381.0,
13,259,9300348.0,
13,265,,10074059.0
14,269,8944948.0,
14,279,5478406.5,
14,284,,6331871.5
15,289,4480283.0,
15,299,4607434.0,
15,303,,4804805.0
16,309,3475888.0,
16,319,3248978.75,
16,322,,3555000.0
17,329,1564648.875,
17,339,1061417.5,
17,341,,2428011.5
18,349,1421290.375,
18,359,849512.0,
18,360,,2998084.0
19,369,389293.34375,
19,379,645637.875,
19,379,,1154754.75
20,389,564034.625,
20,398,,1060543.625
21,399,798855.5,
21,409,594982.875,
21,417,,1589762.5
22,419,693568.6875,
22,429,397933.75,
22,436,,910337.9375
23,439,400365.1875,
23,449,480356.25,
23,455,,1108892.25
24,459,523843.8125,
24,469,465158.75,
24,474,,1063012.0
25,479,626141.6875,
25,489,730919.6875,
25,493,,933962.75
26,499,619684.125,
26,509,622709.625,
26,512,,806663.625
27,519,317163.1875,
27,529,571469.6875,
27,531,,779375.3125
28,539,548626.25,
28,549,641364.4375,
28,550,,822108.875
29,559,566238.9375,
29,569,501130.4375,
29,569,,878257.6875
30,579,610949.25,
30,588,,1313125.125
31,589,546010.9375,
31,599,770899.5,
31,607,,751910.0625
32,609,434551.09375,
32,619,617978.875,
32,626,,729451.4375
33,629,471255.21875,
33,639,597214.25,
33,645,,779470.0
34,649,522041.625,
34,659,586359.3125,
34,664,,772403.0625
35,669,655432.875,
35,679,537459.4375,
35,683,,868923.875
36,689,608481.875,
36,699,490873.1875,
36,702,,799515.4375
37,709,491445.25,
37,719,556340.625,
37,721,,700899.5625
38,729,639867.0,
38,739,444961.09375,
38,740,,906934.0625
39,749,538110.4375,
39,759,614564.875,
39,759,,770059.25
40,769,487929.875,
40,778,,719585.1875
41,779,531147.0625,
41,789,521771.59375,
41,797,,959837.75
42,799,554434.75,
42,809,667763.8125,
42,816,,691562.0625
43,819,652458.75,
43,829,385113.59375,
43,835,,881830.0
44,839,537688.6875,
44,849,488420.09375,
44,854,,755737.625
45,859,492561.71875,
45,869,474354.34375,
45,873,,822047.1875
46,879,550984.625,
46,889,883000.875,
46,892,,638640.3125
47,899,440521.21875,
47,909,730789.6875,
47,911,,644859.5625
48,919,459840.1875,
48,929,452236.34375,
48,930,,641618.3125
49,939,376594.125,
49,949,402823.0625,
49,949,,650919.75
50,959,531179.5,
50,968,,674319.25
51,969,642950.5,
51,979,284162.75,
51,987,,691382.125
52,989,490428.6875,
52,999,368808.5,
52,1006,,864587.5625
53,1009,670686.75,
53,1019,510035.34375,
53,1025,,652451.5625
54,1029,964765.875,
54,1039,487076.4375,
54,1044,,706802.5
55,1049,398247.0,
55,1059,485555.84375,
55,1063,,724607.875
56,1069,564083.6875,
56,1079,609567.5,
56,1082,,697664.8125
57,1089,537157.3125,
57,1099,694137.5,
57,1101,,729254.1875
58,1109,706371.375,
58,1119,524425.125,
58,1120,,627091.3125
59,1129,449236.3125,
59,1139,625195.75,
59,1139,,759076.25
60,1149,461040.5625,
60,1158,,690523.625
61,1159,389805.1875,
61,1169,678218.375,
61,1177,,737087.875
62,1179,505174.6875,
62,1189,560217.3125,
62,1196,,813804.5
63,1199,546539.1875,
63,1209,499388.09375,
63,1215,,650687.875
64,1219,496532.25,
64,1229,558604.625,
64,1234,,702023.9375
65,1239,466559.59375,
65,1249,449943.71875,
65,1253,,697728.4375
66,1259,392164.625,
66,1269,569878.375,
66,1272,,788282.8125
67,1279,493505.71875,
67,1289,658872.5,
67,1291,,695565.9375
68,1299,455652.59375,
68,1309,370185.96875,
68,1310,,651401.6875
69,1319,515116.71875,
69,1329,537607.125,
69,1329,,748418.0
70,1339,967555.375,
70,1348,,738133.25
71,1349,534244.5625,
71,1359,444546.46875,
71,1367,,699859.0625
72,1369,481956.84375,
72,1379,714267.1875,
72,1386,,679148.875
73,1389,531165.375,
73,1399,466606.0,
73,1405,,739764.1875
74,1409,374078.75,
74,1419,627625.5625,
74,1424,,657937.625
75,1429,600347.5,
75,1439,584414.0,
75,1443,,745937.3125
76,1449,517590.59375,
76,1459,390531.96875,
76,1462,,678531.125
77,1469,554928.5,
77,1479,518371.1875,
77,1481,,724882.5625
78,1489,547312.375,
78,1499,341102.5,
78,1500,,737999.625
