epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,32308486.0,32308898.0,4127.9765625,,,
0,19,34285936.0,34287092.0,11573.67578125,,,
0,29,33090044.0,33091456.0,14126.701171875,,,
0,39,33048208.0,33050540.0,23311.279296875,,,
0,49,31400576.0,31401242.0,6668.71142578125,,,
0,59,34705268.0,34707768.0,25016.37109375,,,
0,69,33507724.0,33512786.0,50614.08203125,,,
0,79,31648492.0,31650566.0,20748.75390625,,,
0,89,34432332.0,34453636.0,213049.828125,,,
0,93,,,,33942928.0,33943892.0,9548.654296875
1,99,34076040.0,34085104.0,90634.5078125,,,
1,109,32687046.0,32707308.0,202612.15625,,,
1,119,32842604.0,32849278.0,66740.234375,,,
1,129,36088768.0,36099312.0,105421.796875,,,
1,139,32657388.0,32664586.0,71975.015625,,,
1,149,32537812.0,32542750.0,49370.0859375,,,
1,159,31198390.0,31258296.0,599058.25,,,
1,169,32964374.0,33370894.0,4065198.25,,,
1,179,34462816.0,34467208.0,43919.5859375,,,
1,187,,,,33950120.0,34212328.0,2622032.5
2,189,32040902.0,32060578.0,196759.265625,,,
2,199,34009716.0,34016200.0,64833.15234375,,,
2,209,34119768.0,34129404.0,96355.015625,,,
2,219,32397564.0,32586176.0,1886122.375,,,
2,229,32079864.0,32198346.0,1184818.625,,,
2,239,32303238.0,32338008.0,347700.96875,,,
2,249,34646668.0,34701736.0,550694.875,,,
2,259,35054524.0,35263480.0,2089548.75,,,
2,269,33939376.0,33982312.0,429354.71875,,,
2,279,33465104.0,33505028.0,399249.25,,,
2,281,,,,33948288.0,34014036.0,657337.375
3,289,33147744.0,33238894.0,911506.4375,,,
3,299,33916552.0,33986600.0,700461.6875,,,
3,309,32857852.0,32961244.0,1033923.8125,,,
3,319,34237984.0,34316516.0,785337.9375,,,
3,329,32419392.0,32493256.0,738639.3125,,,
3,339,32364828.0,32549724.0,1848965.375,,,
3,349,32832502.0,32904616.0,721132.75,,,
3,359,33344150.0,33500802.0,1566528.75,,,
3,369,33346710.0,33405112.0,584029.125,,,
3,375,,,,33947824.0,34014024.0,661968.5625
4,379,35330348.0,35429724.0,993756.5,,,
4,389,35019980.0,35127328.0,1073461.125,,,
4,399,33301984.0,33352966.0,509825.125,,,
4,409,36533232.0,36594932.0,616997.375,,,
4,419,31299152.0,31386120.0,869682.8125,,,
4,429,31185600.0,31351988.0,1663882.625,,,
4,439,33704720.0,33799836.0,951149.6875,,,
4,449,33995252.0,34074768.0,795169.625,,,
4,459,31936390.0,32175038.0,2386470.5,,,
4,469,33231152.0,33283274.0,521224.5625,,,
4,469,,,,33947632.0,34000852.0,532307.3125
5,479,35114012.0,35220568.0,1065562.625,,,
5,489,32832470.0,32916776.0,843055.625,,,
5,499,32339292.0,32500770.0,1614774.875,,,
5,509,36134188.0,36177304.0,431170.53125,,,
5,519,31288982.0,31361216.0,722348.375,,,
5,529,31977984.0,32029322.0,513373.0625,,,
5,539,35285948.0,35319536.0,335878.0,,,
5,549,31951086.0,32016870.0,657834.75,,,
5,559,33767628.0,33846600.0,789714.125,,,
5,563,,,,nan,nan,nan
