epoch,step,train_loss,val_loss
0,9,32736622.0,
0,12,,33743120.0
1,19,33594176.0,
1,25,,33708912.0
2,29,31747928.0,
2,38,,33441448.0
3,39,30627584.0,
3,49,34861312.0,
3,51,,33155572.0
4,59,36429460.0,
4,64,,33242508.0
5,69,32362636.0,
5,77,,31938786.0
6,79,34448800.0,
6,89,32809094.0,
6,90,,31559344.0
7,99,29691348.0,
7,103,,31811092.0
8,109,29556636.0,
8,116,,30172170.0
9,119,29207646.0,
9,129,28509856.0,
9,129,,29786658.0
10,139,26206918.0,
10,142,,27062128.0
11,149,29615920.0,
11,155,,28123164.0
12,159,23546108.0,
12,168,,23011482.0
13,169,24139126.0,
13,179,24592318.0,
13,181,,23491302.0
14,189,22774992.0,
14,194,,21586426.0
15,199,18692544.0,
15,207,,19504474.0
16,209,16607838.0,
16,219,15869043.0,
16,220,,16463868.0
17,229,15448031.0,
17,233,,14540570.0
18,239,12037267.0,
18,246,,13634438.0
19,249,10837432.0,
19,259,9573268.0,
19,259,,10102616.0
20,269,8568206.0,
20,272,,6460547.0
21,279,6113683.0,
21,285,,6299630.0
22,289,4977903.5,
22,298,,4872531.0
23,299,3909049.75,
23,309,2466984.5,
23,311,,3450016.75
24,319,1864543.0,
24,324,,2799973.0
25,329,1814338.75,
25,337,,2036424.125
26,339,2113265.5,
26,349,842577.875,
26,350,,1441113.0
27,359,689750.5,
27,363,,1203170.125
28,369,635282.25,
28,376,,576657.1875
29,379,844570.875,
29,389,334681.5,
29,389,,625988.25
30,399,293899.09375,
30,402,,596349.5
31,409,531559.9375,
31,415,,377048.28125
32,419,394813.25,
32,428,,539994.5
33,429,293279.46875,
33,439,422777.5625,
33,441,,583843.0625
34,449,363078.0625,
34,454,,464916.375
35,459,702492.5,
35,467,,287202.6875
36,469,152247.03125,
36,479,543307.25,
36,480,,296109.625
37,489,251090.609375,
37,493,,489122.4375
38,499,187207.25,
38,506,,260663.4375
39,509,294948.375,
39,519,230065.21875,
39,519,,283546.75
40,529,349521.6875,
40,532,,447397.59375
41,539,301901.4375,
41,545,,374635.1875
42,549,161050.390625,
42,558,,218537.234375
43,559,227156.046875,
43,569,478195.84375,
43,571,,255813.234375
44,579,408266.9375,
44,584,,330573.09375
45,589,327421.625,
45,597,,541770.25
46,599,212254.96875,
46,609,307955.1875,
46,610,,360775.40625
47,619,290510.15625,
47,623,,218343.015625
48,629,149903.421875,
48,636,,253672.140625
49,639,175473.4375,
49,649,367535.5,
49,649,,379094.0
50,659,220889.8125,
50,662,,191434.046875
51,669,330707.46875,
51,675,,287541.15625
52,679,277560.875,
52,688,,462984.6875
53,689,309581.8125,
53,699,244333.46875,
53,701,,302343.84375
54,709,188852.5,
54,714,,247927.9375
55,719,341672.8125,
55,727,,203212.078125
56,729,328359.6875,
56,739,361040.21875,
56,740,,472588.28125
57,749,128680.96875,
57,753,,220711.5625
58,759,282167.9375,
58,766,,228382.140625
59,769,294823.21875,
59,779,140110.34375,
59,779,,318191.375
60,789,216537.40625,
60,792,,390686.6875
61,799,162646.59375,
61,805,,363708.625
62,809,219205.359375,
62,818,,266163.90625
63,819,242047.5,
63,829,265625.25,
63,831,,255627.953125
64,839,206367.671875,
64,844,,251544.0
65,849,484664.34375,
65,857,,302524.8125
66,859,286359.9375,
66,869,400947.5625,
66,870,,311584.90625
67,879,184968.296875,
67,883,,323697.21875
68,889,176092.6875,
68,896,,267760.375
69,899,174413.625,
69,909,280401.78125,
69,909,,383860.90625
70,919,613338.125,
70,922,,268021.6875
