epoch,step,train_loss,val_loss
0,9,37609056.0,
0,12,,33624688.0
1,19,34849564.0,
1,25,,33528536.0
2,29,37137872.0,
2,38,,33500890.0
3,39,37409072.0,
3,49,32369278.0,
3,51,,33247332.0
4,59,36428720.0,
4,64,,33162240.0
5,69,33369060.0,
5,77,,32755514.0
6,79,31405408.0,
6,89,31045102.0,
6,90,,31726274.0
7,99,32141228.0,
7,103,,31272898.0
8,109,35628856.0,
8,116,,30734310.0
9,119,27598294.0,
9,129,27622704.0,
9,129,,30881976.0
10,139,27287044.0,
10,142,,27109278.0
11,149,28343776.0,
11,155,,28450872.0
12,159,26788012.0,
12,168,,28612014.0
13,169,23814240.0,
13,179,24801654.0,
13,181,,23043046.0
14,189,22309508.0,
14,194,,21265530.0
15,199,21067228.0,
15,207,,19965378.0
16,209,18014246.0,
16,219,17000456.0,
16,220,,18767848.0
17,229,14784966.0,
17,233,,15468655.0
18,239,13568062.0,
18,246,,12131068.0
19,249,11205472.0,
19,259,9221092.0,
19,259,,12330427.0
20,269,9435472.0,
20,272,,8417061.0
21,279,7320572.0,
21,285,,5940824.5
22,289,5433486.0,
22,298,,7448879.5
23,299,4174313.5,
23,309,3597494.75,
23,311,,6098560.5
24,319,2406748.0,
24,324,,3819934.5
25,329,1936230.0,
25,337,,2202775.25
26,339,1763328.375,
26,349,1388504.75,
26,350,,2676858.5
27,359,872471.1875,
27,363,,1741475.875
28,369,1447794.75,
28,376,,1572613.875
29,379,1088016.75,
29,389,365589.46875,
29,389,,807005.5
30,399,324094.0625,
30,402,,779045.75
31,409,700331.6875,
31,415,,819634.5
32,419,438646.8125,
32,428,,572724.5
33,429,466556.75,
33,439,159425.921875,
33,441,,514227.25
34,449,398211.6875,
34,454,,466305.75
35,459,217150.125,
35,467,,408149.53125
36,469,98132.421875,
36,479,306504.59375,
36,480,,329195.03125
37,489,229386.984375,
37,493,,366055.15625
38,499,914452.125,
38,506,,502602.53125
39,509,240273.5,
39,519,195014.296875,
39,519,,485170.25
40,529,288567.1875,
40,532,,345123.53125
41,539,207376.34375,
41,545,,391797.375
42,549,239161.125,
42,558,,425302.46875
43,559,227742.84375,
43,569,124308.328125,
43,571,,399293.6875
44,579,157572.0625,
44,584,,402593.96875
45,589,179028.09375,
45,597,,272616.625
46,599,481776.125,
46,609,385643.9375,
46,610,,285731.71875
47,619,250430.96875,
47,623,,237946.21875
48,629,185846.96875,
48,636,,412888.28125
49,639,206168.171875,
49,649,779996.1875,
49,649,,279330.875
50,659,257898.65625,
50,662,,310697.90625
51,669,163171.28125,
51,675,,296185.78125
52,679,217161.046875,
52,688,,386112.28125
53,689,161889.984375,
53,699,201254.625,
53,701,,379519.3125
54,709,236324.21875,
54,714,,415145.75
55,719,133669.921875,
55,727,,227810.265625
56,729,228589.046875,
56,739,202760.171875,
56,740,,361228.4375
57,749,156922.671875,
57,753,,458276.09375
58,759,269110.125,
58,766,,433084.96875
59,769,222698.78125,
59,779,137921.296875,
59,779,,245401.9375
60,789,280874.84375,
60,792,,562209.375
61,799,281040.0625,
61,805,,350302.75
62,809,195962.375,
62,818,,390087.3125
63,819,184234.421875,
63,829,262327.25,
63,831,,368640.53125
64,839,275479.4375,
64,844,,354705.09375
65,849,328461.5,
65,857,,236227.203125
66,859,157935.171875,
66,869,250416.984375,
66,870,,313043.71875
67,879,234667.359375,
67,883,,315131.4375
68,889,172743.359375,
68,896,,358490.90625
69,899,261616.671875,
69,909,141794.8125,
69,909,,276427.78125
70,919,371936.375,
70,922,,321908.25
71,929,203749.671875,
71,935,,312791.59375
72,939,209070.546875,
72,948,,331768.9375
73,949,281578.21875,
73,959,250621.21875,
73,961,,375371.125
74,969,198422.984375,
74,974,,275867.46875
75,979,193712.625,
75,987,,300039.1875
