epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,31733814.0,31782840.0,490260.46875,,,
0,19,35315104.0,40434356.0,51192512.0,,,
0,29,34200528.0,34212540.0,120102.1171875,,,
0,39,33956928.0,33958632.0,17037.142578125,,,
0,49,35002560.0,35005724.0,31646.943359375,,,
0,59,32111632.0,32112924.0,12914.9814453125,,,
0,69,30898704.0,30900904.0,22004.984375,,,
0,79,32035724.0,32047098.0,113731.03125,,,
0,89,33449292.0,33510978.0,616859.1875,,,
0,93,,,,33803116.0,33892824.0,897042.6875
1,99,37119772.0,37123384.0,36139.1640625,,,
1,109,31657654.0,31663900.0,62461.95703125,,,
1,119,34069752.0,34191176.0,1214220.75,,,
1,129,32076582.0,32082246.0,56643.53515625,,,
1,139,34320496.0,34323912.0,34151.7890625,,,
1,149,33658232.0,33660944.0,27102.662109375,,,
1,159,32506544.0,32509344.0,27994.111328125,,,
1,169,34107784.0,34110556.0,27704.3046875,,,
1,179,32780238.0,32783120.0,28811.212890625,,,
1,187,,,,33810396.0,33811272.0,8799.671875
2,189,33651232.0,33653976.0,27432.076171875,,,
2,199,35075772.0,35085104.0,93304.7109375,,,
2,209,31882862.0,31885052.0,21895.82421875,,,
2,219,34997968.0,35002676.0,47090.3046875,,,
2,229,33315414.0,33319036.0,36211.0546875,,,
2,239,33855192.0,33859840.0,46484.30078125,,,
2,249,31548072.0,31551832.0,37598.54296875,,,
2,259,32568576.0,32571202.0,26268.83203125,,,
2,269,35047900.0,35052120.0,42187.44921875,,,
2,279,33550766.0,33554856.0,40911.24609375,,,
2,281,,,,33810304.0,33811168.0,8629.244140625
3,289,34303480.0,34313808.0,103264.9765625,,,
3,299,33312856.0,33314354.0,14982.095703125,,,
3,309,35719800.0,35721404.0,16039.8134765625,,,
3,319,33551508.0,33554448.0,29387.044921875,,,
3,329,35572492.0,35577420.0,49264.42578125,,,
3,339,35429528.0,35430484.0,9579.787109375,,,
3,349,32890022.0,32896106.0,60840.375,,,
3,359,34497900.0,34500288.0,23897.591796875,,,
3,369,33713808.0,33716248.0,24389.474609375,,,
3,375,,,,33810360.0,33812068.0,17103.3359375
4,379,32088470.0,32093528.0,50571.30078125,,,
4,389,31228748.0,31233992.0,52443.7890625,,,
4,399,33014684.0,33016712.0,20278.779296875,,,
4,409,32891454.0,32895270.0,38163.95703125,,,
4,419,31514806.0,31516960.0,21537.423828125,,,
4,429,35219876.0,35221040.0,11639.8310546875,,,
4,439,34576436.0,34580520.0,40845.8359375,,,
4,449,36351464.0,36375432.0,239685.09375,,,
4,459,33999224.0,34001516.0,22919.345703125,,,
4,469,35367992.0,35369876.0,18839.853515625,,,
4,469,,,,33810040.0,33810808.0,7682.58056640625
5,479,33922168.0,33926400.0,42337.56640625,,,
5,489,35294860.0,35300728.0,58666.7890625,,,
5,499,33770376.0,33772480.0,21026.515625,,,
5,509,35605480.0,35609568.0,40868.765625,,,
5,519,35701632.0,35704524.0,28920.201171875,,,
5,529,32584332.0,32586000.0,16687.982421875,,,
5,539,33534560.0,33541298.0,67385.9609375,,,
5,549,34423152.0,34429308.0,61559.08984375,,,
5,559,31705982.0,31707960.0,19772.703125,,,
5,563,,,,33809928.0,33811288.0,13485.1943359375
6,569,33820588.0,34168076.0,3474898.0,,,
6,579,33109980.0,33113840.0,38606.0078125,,,
6,589,35150684.0,35155012.0,43278.01953125,,,
6,599,37113492.0,37117192.0,36983.44140625,,,
6,609,34489396.0,34490992.0,15947.4716796875,,,
6,619,33479478.0,33483102.0,36243.6484375,,,
6,629,32931988.0,32939162.0,71744.1796875,,,
6,639,33316592.0,33318528.0,19350.279296875,,,
6,649,34898928.0,34901184.0,22564.923828125,,,
6,657,,,,33809780.0,33811324.0,15337.2841796875
7,659,35117348.0,35120284.0,29369.474609375,,,
7,669,32161742.0,32165414.0,36727.3671875,,,
7,679,33795220.0,33797676.0,24551.146484375,,,
7,689,33530432.0,33535072.0,46395.17578125,,,
7,699,33085952.0,33089020.0,30672.759765625,,,
7,709,35410016.0,35414056.0,40396.765625,,,
7,719,32401792.0,32405500.0,37079.8046875,,,
7,729,33500460.0,33520714.0,202541.328125,,,
7,739,33341736.0,33345230.0,34939.55078125,,,
7,749,35339632.0,35343224.0,35910.203125,,,
7,751,,,,33809724.0,33810628.0,9018.9072265625
8,759,34954840.0,34956696.0,18552.548828125,,,
8,769,34411024.0,34411792.0,7677.31103515625,,,
8,779,32700652.0,32704876.0,42236.31640625,,,
8,789,33347044.0,33348304.0,12602.4208984375,,,
8,799,32841664.0,32843370.0,17051.548828125,,,
8,809,32650134.0,32653534.0,33992.46484375,,,
8,819,34422184.0,34423788.0,16033.888671875,,,
8,829,33577664.0,33582648.0,49840.9140625,,,
8,839,35108700.0,35114204.0,55037.4140625,,,
8,845,,,,33810460.0,33813248.0,27901.8515625
9,849,35092684.0,35096072.0,33881.8203125,,,
9,859,37178400.0,37184000.0,56017.56640625,,,
9,869,32928230.0,32931442.0,32113.40234375,,,
9,879,32512440.0,32516570.0,41292.34375,,,
9,889,34350760.0,34354824.0,40626.0078125,,,
9,899,33107772.0,33108548.0,7761.5693359375,,,
