epoch,step,train_loss,val_loss
0,9,34174968.0,
0,12,,33346074.0
1,19,30476246.0,
1,25,,33199302.0
2,29,33125328.0,
2,38,,33192076.0
3,39,32071008.0,
3,49,30964744.0,
3,51,,32679792.0
4,59,33297206.0,
4,64,,33058186.0
5,69,33232656.0,
5,77,,31778414.0
6,79,33252844.0,
6,89,31565008.0,
6,90,,32179712.0
7,99,32635238.0,
7,103,,31040458.0
8,109,29369894.0,
8,116,,29690302.0
9,119,34946552.0,
9,129,28675724.0,
9,129,,28881850.0
10,139,26104366.0,
10,142,,28288140.0
11,149,24762822.0,
11,155,,27348766.0
12,159,24075246.0,
12,168,,25326208.0
13,169,24619262.0,
13,179,22831780.0,
13,181,,23251164.0
14,189,21400116.0,
14,194,,22072778.0
15,199,21038564.0,
15,207,,19950234.0
16,209,18202412.0,
16,219,17302992.0,
16,220,,18899026.0
17,229,15137082.0,
17,233,,14529535.0
18,239,12277363.0,
18,246,,13540549.0
19,249,11403236.0,
19,259,11023107.0,
19,259,,12559685.0
20,269,7365101.5,
20,272,,8024392.5
21,279,6423749.5,
21,285,,7325764.5
22,289,5665841.5,
22,298,,6900075.0
23,299,4348474.0,
23,309,4213269.5,
23,311,,4175256.75
24,319,2941122.5,
24,324,,2959738.5
25,329,2471518.5,
25,337,,2555050.75
26,339,1555035.875,
26,349,1324391.75,
26,350,,3734219.75
27,359,813069.6875,
27,363,,2147051.0
28,369,1296474.75,
28,376,,843641.4375
29,379,366840.46875,
29,389,1094796.5,
29,389,,797303.9375
30,399,293509.46875,
30,402,,1472755.875
31,409,306053.8125,
31,415,,1093329.0
32,419,172645.75,
32,428,,408885.8125
33,429,515949.34375,
33,439,263885.125,
33,441,,443352.75
34,449,616022.6875,
34,454,,489299.125
35,459,269122.75,
35,467,,350916.5625
36,469,233804.75,
36,479,235556.421875,
36,480,,462459.28125
37,489,385295.09375,
37,493,,461375.0
38,499,237129.46875,
38,506,,257115.796875
39,509,204586.5625,
39,519,268503.5625,
39,519,,487145.90625
40,529,245722.671875,
40,532,,301701.34375
41,539,721478.6875,
41,545,,478298.40625
42,549,227986.109375,
42,558,,475108.0
43,559,518543.75,
43,569,203994.171875,
43,571,,499707.03125
44,579,209907.09375,
44,584,,331298.4375
45,589,238794.0,
45,597,,801859.6875
46,599,361055.59375,
46,609,251060.25,
46,610,,708018.3125
47,619,1178823.0,
47,623,,710901.0625
48,629,249849.609375,
48,636,,308931.53125
49,639,167095.0,
49,649,164672.296875,
49,649,,322899.0625
50,659,287804.1875,
50,662,,377093.84375
51,669,480224.25,
51,675,,297767.96875
52,679,407399.4375,
52,688,,312329.3125
53,689,205932.0,
53,699,237469.84375,
53,701,,318869.125
54,709,242634.65625,
54,714,,268565.46875
55,719,249924.296875,
55,727,,244422.046875
56,729,184599.796875,
56,739,234597.84375,
56,740,,371576.96875
57,749,147240.875,
57,753,,364717.90625
58,759,262666.46875,
58,766,,246989.078125
59,769,220882.875,
59,779,151652.53125,
59,779,,370762.96875
60,789,228008.0,
60,792,,381114.6875
61,799,200814.046875,
61,805,,337656.15625
62,809,200706.296875,
62,818,,286241.90625
63,819,283704.5625,
63,829,128146.75,
63,831,,362369.8125
64,839,124221.4375,
64,844,,357716.8125
65,849,193195.734375,
65,857,,276817.90625
66,859,220258.546875,
66,869,246368.421875,
66,870,,381934.625
67,879,415212.71875,
67,883,,275617.53125
68,889,185390.34375,
68,896,,292915.84375
69,899,125412.296875,
69,909,174268.359375,
69,909,,281808.75
70,919,174238.296875,
70,922,,330854.875
71,929,207147.421875,
71,935,,295286.3125
72,939,205267.734375,
72,948,,304551.875
73,949,357596.75,
73,959,102909.046875,
73,961,,302883.21875
74,969,154786.03125,
74,974,,300853.9375
75,979,223319.625,
75,987,,346519.15625
