epoch,step,train_loss,val_loss
0,9,32990776.0,
0,19,34479928.0,
0,24,,33704684.0
1,29,32645662.0,
1,39,33263382.0,
1,49,32835380.0,
1,49,,33440820.0
2,59,31786292.0,
2,69,32285020.0,
2,74,,32904176.0
3,79,31561316.0,
3,89,31974862.0,
3,99,32890396.0,
3,99,,31727004.0
4,109,32301708.0,
4,119,32192516.0,
4,124,,30088464.0
5,129,29468508.0,
5,139,28197268.0,
5,149,28191398.0,
5,149,,27294982.0
6,159,26018988.0,
6,169,25497680.0,
6,174,,24083210.0
7,179,24116828.0,
7,189,20213772.0,
7,199,18798868.0,
7,199,,20500934.0
8,209,16789042.0,
8,219,14675796.0,
8,224,,15892324.0
9,229,12866528.0,
9,239,11636326.0,
9,249,11356318.0,
9,249,,10398762.0
10,259,8026421.0,
10,269,6455153.5,
10,274,,7600152.5
11,279,5573927.0,
11,289,4544105.5,
11,299,3367902.75,
11,299,,5053950.5
12,309,3451994.75,
12,319,2351018.0,
12,324,,3641476.75
13,329,1382581.25,
13,339,1342952.75,
13,349,760224.9375,
13,349,,1752711.375
14,359,879748.5,
14,369,752196.375,
14,374,,1292175.25
15,379,525443.1875,
15,389,619985.6875,
15,399,581912.1875,
15,399,,931490.375
16,409,635164.6875,
16,419,574265.9375,
16,424,,820369.25
17,429,721214.25,
17,439,534785.5625,
17,449,318998.8125,
17,449,,824986.5
18,459,725147.0,
18,469,466271.1875,
18,474,,707045.125
19,479,523618.5,
19,489,425128.59375,
19,499,653366.625,
19,499,,1020463.75
20,509,536319.125,
20,519,585599.25,
20,524,,743282.75
21,529,510535.59375,
21,539,597752.3125,
21,549,881296.5,
21,549,,761239.0625
22,559,399677.84375,
22,569,881178.5,
22,574,,710938.75
23,579,649331.125,
23,589,512271.71875,
23,599,731675.25,
23,599,,789302.0
24,609,527320.375,
24,619,488033.3125,
24,624,,698983.5
25,629,377259.4375,
25,639,477537.4375,
25,649,516286.59375,
25,649,,755373.6875
26,659,444849.09375,
26,669,495876.84375,
26,674,,609397.9375
27,679,497802.0625,
27,689,882809.6875,
27,699,566263.9375,
27,699,,702087.375
28,709,598015.5,
28,719,483060.6875,
28,724,,636819.5
29,729,471269.0625,
29,739,480113.84375,
29,749,465786.84375,
29,749,,598516.125
30,759,540200.5,
30,769,598977.125,
30,774,,717905.8125
31,779,653666.4375,
31,789,483338.0,
31,799,469014.4375,
31,799,,686281.25
32,809,406178.125,
32,819,470502.875,
32,824,,661998.375
33,829,914717.9375,
33,839,432052.5,
33,849,499114.5625,
33,849,,665288.75
34,859,718228.6875,
34,869,622669.5625,
34,874,,604340.5625
35,879,524391.75,
35,889,505922.5625,
35,899,688238.375,
35,899,,642013.8125
36,909,612177.1875,
36,919,433001.9375,
36,924,,580224.8125
37,929,383644.21875,
37,939,440924.6875,
37,949,380612.1875,
37,949,,619403.6875
38,959,516059.96875,
38,969,848665.625,
38,974,,632885.0625
39,979,558246.875,
39,989,824259.4375,
39,999,469369.8125,
39,999,,722262.375
40,1009,503686.5,
40,1019,565160.3125,
40,1024,,642676.4375
41,1029,426903.71875,
41,1039,615696.125,
41,1049,412305.0,
41,1049,,666767.0625
42,1059,480648.9375,
42,1069,335143.0,
42,1074,,618428.75
43,1079,552666.125,
43,1089,676678.875,
43,1099,608916.375,
43,1099,,656081.0625
44,1109,581647.5,
44,1119,507884.6875,
44,1124,,825094.0625
45,1129,401325.34375,
45,1139,735188.75,
45,1149,565040.625,
45,1149,,602630.1875
46,1159,844989.375,
46,1169,498735.9375,
46,1174,,558228.9375
47,1179,513804.96875,
47,1189,545465.75,
47,1199,441075.6875,
47,1199,,618531.375
48,1209,401822.09375,
48,1219,763253.125,
48,1224,,694077.5
49,1229,467495.125,
49,1239,644037.375,
49,1249,489222.09375,
49,1249,,646105.1875
50,1259,649101.25,
50,1269,477590.6875,
50,1274,,609114.75
51,1279,670307.375,
51,1289,472220.9375,
51,1299,658396.9375,
51,1299,,716767.9375
52,1309,449386.5,
52,1319,370017.09375,
52,1324,,733776.625
53,1329,570400.25,
53,1339,435146.84375,
53,1349,454735.59375,
53,1349,,813131.8125
54,1359,798174.25,
54,1369,637168.9375,
54,1374,,718120.9375
55,1379,587274.25,
55,1389,729582.1875,
55,1399,657125.25,
55,1399,,626229.9375
56,1409,503358.1875,
56,1419,467229.4375,
56,1424,,691822.1875
57,1429,676486.1875,
57,1439,515506.0,
57,1449,593882.375,
57,1449,,826598.625
58,1459,606879.875,
58,1469,486220.375,
58,1474,,634844.6875
59,1479,438792.25,
59,1489,540723.1875,
59,1499,543196.0,
59,1499,,579809.5
60,1509,436350.4375,
60,1519,591205.375,
60,1524,,581777.8125
61,1529,585048.9375,
61,1539,516720.9375,
61,1549,399169.96875,
61,1549,,622020.0625
62,1559,653487.6875,
62,1569,494369.59375,
62,1574,,623741.25
63,1579,401074.9375,
63,1589,701390.6875,
63,1599,299895.4375,
63,1599,,707446.875
64,1609,741798.125,
64,1619,653937.625,
64,1624,,594678.1875
65,1629,468018.625,
65,1639,581811.25,
65,1649,392877.84375,
65,1649,,634187.1875
66,1659,627596.875,
66,1669,494345.875,
66,1674,,681412.25
