epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,33017822.0,33087492.0,696691.25,,,
0,19,33718960.0,34314784.0,5958243.0,,,
0,29,33282352.0,33283278.0,9268.0771484375,,,
0,39,35405216.0,35407688.0,24735.751953125,,,
0,49,34515220.0,34518256.0,30349.544921875,,,
0,59,34106432.0,34109412.0,29812.021484375,,,
0,69,34254032.0,34257104.0,30716.1875,,,
0,79,33717692.0,33722344.0,46502.125,,,
0,89,34282476.0,34304180.0,217048.03125,,,
0,93,,,,33823104.0,34083820.0,2607159.25
1,99,34074048.0,34130580.0,565333.1875,,,
1,109,32541904.0,32545052.0,31470.859375,,,
1,119,34577848.0,34585616.0,77695.046875,,,
1,129,35984608.0,35986312.0,17024.990234375,,,
1,139,32318630.0,32320294.0,16640.365234375,,,
1,149,31055566.0,31058184.0,26171.533203125,,,
1,159,33235654.0,33241054.0,54004.57421875,,,
1,169,35192696.0,35201956.0,92604.265625,,,
1,179,34141372.0,34142560.0,11872.9541015625,,,
1,187,,,,33826880.0,33827576.0,6887.88671875
2,189,31512876.0,31518682.0,58054.72265625,,,
2,199,33843944.0,33849448.0,55020.3828125,,,
2,209,33472124.0,33474024.0,18998.26953125,,,
2,219,34645396.0,34646828.0,14338.708984375,,,
2,229,33448190.0,33453718.0,55277.390625,,,
2,239,35638256.0,35642044.0,37863.65234375,,,
2,249,31101870.0,31105670.0,37997.98046875,,,
2,259,35401480.0,35402908.0,14267.8671875,,,
2,269,35354344.0,35361128.0,67851.578125,,,
2,279,34594392.0,34601920.0,75262.6328125,,,
2,281,,,,33821348.0,33822124.0,7839.22119140625
3,289,35405404.0,35406400.0,9973.7060546875,,,
3,299,32789926.0,32792340.0,24145.412109375,,,
3,309,32530972.0,32533950.0,29785.318359375,,,
3,319,32365846.0,32366172.0,3255.890869140625,,,
3,329,34416032.0,34418292.0,22580.953125,,,
3,339,33903516.0,33908044.0,45285.08203125,,,
3,349,36181624.0,36182400.0,7744.49462890625,,,
3,359,33521926.0,33524964.0,30382.7578125,,,
3,369,31562272.0,31563192.0,9197.326171875,,,
3,375,,,,33822956.0,33823264.0,3107.12060546875
4,379,34543328.0,34546256.0,29272.357421875,,,
4,389,32725668.0,32727880.0,22121.984375,,,
4,399,31918280.0,31919356.0,10759.05859375,,,
4,409,34763896.0,34764500.0,6024.77099609375,,,
4,419,34277856.0,34278924.0,10683.96875,,,
4,429,34945000.0,34946284.0,12833.1328125,,,
4,439,33749768.0,33751512.0,17420.8125,,,
4,449,30885084.0,30886182.0,10972.1201171875,,,
4,459,34824080.0,34827984.0,39031.80859375,,,
4,469,32584038.0,32585062.0,10236.2373046875,,,
4,469,,,,33823944.0,33824040.0,990.4963989257812
5,479,35183616.0,35184492.0,8744.662109375,,,
5,489,31661548.0,31663588.0,20401.720703125,,,
5,499,34674292.0,34675640.0,13495.1708984375,,,
5,509,32446166.0,32447490.0,13243.5849609375,,,
5,519,30738012.0,30881246.0,1432349.0,,,
