epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,33378672.0,33381228.0,25560.794921875,,,
0,19,33160828.0,33256024.0,951952.625,,,
0,29,34348032.0,34349212.0,11804.6669921875,,,
0,39,34309800.0,34528088.0,2182896.5,,,
0,49,33350732.0,33355828.0,50967.20703125,,,
0,59,34992952.0,35238576.0,2456241.0,,,
0,69,34074412.0,34169388.0,949775.4375,,,
0,79,35013728.0,35475428.0,4617015.0,,,
0,89,33385548.0,33433656.0,481081.0625,,,
0,93,,,,33806408.0,34256556.0,4501583.5
1,99,35733096.0,35741628.0,85304.171875,,,
1,109,32023110.0,32032254.0,91435.78125,,,
1,119,32699052.0,32701726.0,26741.05078125,,,
1,129,34207784.0,34212384.0,46006.23828125,,,
1,139,34028848.0,34091700.0,628503.5625,,,
1,149,34977880.0,35005244.0,273631.96875,,,
1,159,33802520.0,33811572.0,90533.21875,,,
1,169,33807120.0,33809348.0,22282.478515625,,,
1,179,33098640.0,33105080.0,64401.2421875,,,
1,187,,,,33806480.0,33874612.0,681346.0625
2,189,34093276.0,34096428.0,31530.126953125,,,
2,199,33207348.0,33212330.0,49819.1875,,,
2,209,31888860.0,33162514.0,12736535.0,,,
2,219,34455184.0,34772088.0,3169029.5,,,
2,229,34032368.0,34052216.0,198464.75,,,
2,239,34001176.0,34005060.0,38858.2890625,,,
2,249,35302412.0,35316372.0,139595.765625,,,
2,259,36874096.0,36896120.0,220243.953125,,,
2,269,33426428.0,33441230.0,148011.625,,,
2,279,34703372.0,34707880.0,45084.51953125,,,
2,281,,,,33806380.0,33903336.0,969592.3125
3,289,33381622.0,33386412.0,47895.140625,,,
3,299,35031052.0,35039500.0,84484.3828125,,,
3,309,35852892.0,35856524.0,36333.7265625,,,
3,319,30042076.0,30053388.0,113110.1953125,,,
3,329,31952264.0,31955866.0,36020.0703125,,,
3,339,36813668.0,36843792.0,301232.0,,,
3,349,32249616.0,32252718.0,31016.94921875,,,
3,359,33689208.0,33702272.0,130635.1328125,,,
3,369,32371452.0,32375448.0,39964.86328125,,,
3,375,,,,33806960.0,39143928.0,53369760.0
4,379,33147340.0,33193534.0,461946.8125,,,
4,389,33368444.0,33370458.0,20146.1953125,,,
4,399,33896408.0,33918428.0,220200.5625,,,
4,409,32846896.0,32849534.0,26384.166015625,,,
4,419,33662564.0,34031084.0,3685217.0,,,
4,429,nan,nan,nan,,,
4,439,nan,nan,nan,,,
4,449,nan,nan,nan,,,
4,459,nan,nan,nan,,,
4,469,nan,nan,nan,,,
4,469,,,,nan,nan,nan
