epoch,step,train_loss,val_loss
0,9,34950516.0,
0,12,,33351818.0
1,19,34863832.0,
1,25,,33251038.0
2,29,31759616.0,
2,38,,33148006.0
3,39,31769894.0,
3,49,31269016.0,
3,51,,32792954.0
4,59,34704200.0,
4,64,,32872816.0
5,69,32589908.0,
5,77,,32152044.0
6,79,33680908.0,
6,89,30896774.0,
6,90,,31726342.0
7,99,30899104.0,
7,103,,30223708.0
8,109,30987150.0,
8,116,,30534548.0
9,119,29016780.0,
9,129,25328156.0,
9,129,,30076648.0
10,139,27955404.0,
10,142,,27816542.0
11,149,28171344.0,
11,155,,27652600.0
12,159,26493228.0,
12,168,,26007196.0
13,169,24992380.0,
13,179,21316914.0,
13,181,,23284794.0
14,189,22281222.0,
14,194,,23374518.0
15,199,19463244.0,
15,207,,18420884.0
16,209,17933332.0,
16,219,17853646.0,
16,220,,17922752.0
17,229,15533507.0,
17,233,,13695350.0
18,239,14334518.0,
18,246,,12734670.0
19,249,12480558.0,
19,259,11560854.0,
19,259,,12303414.0
20,269,11487014.0,
20,272,,9273934.0
21,279,6785971.0,
21,285,,6800429.5
22,289,5731363.5,
22,298,,6107851.5
23,299,5298011.0,
23,309,3352495.5,
23,311,,5020027.0
24,319,4245150.0,
24,324,,3670207.75
25,329,2693024.5,
25,337,,3752268.25
26,339,1852144.75,
26,349,1393506.625,
26,350,,3114028.75
27,359,1573860.0,
27,363,,1572846.125
28,369,716084.5,
28,376,,1024896.9375
29,379,755155.0,
29,389,632806.6875,
29,389,,1231602.125
30,399,502333.25,
30,402,,904456.625
31,409,326687.0,
31,415,,668951.75
32,419,301531.71875,
32,428,,768819.1875
33,429,386054.8125,
33,439,338547.71875,
33,441,,439523.1875
34,449,293575.59375,
34,454,,559693.4375
35,459,342777.3125,
35,467,,394383.6875
36,469,266588.21875,
36,479,199720.15625,
36,480,,419351.3125
37,489,234059.21875,
37,493,,374943.84375
38,499,159009.21875,
38,506,,299025.78125
39,509,188166.421875,
39,519,443934.59375,
39,519,,448623.1875
40,529,205066.46875,
40,532,,264541.875
41,539,593228.625,
41,545,,364058.90625
42,549,334558.375,
42,558,,425837.4375
43,559,432368.59375,
43,569,257411.171875,
43,571,,298011.46875
44,579,478044.34375,
44,584,,276625.25
45,589,232280.96875,
45,597,,329548.0
46,599,235186.5,
46,609,193908.4375,
46,610,,292098.9375
47,619,570929.625,
47,623,,470108.15625
48,629,203052.65625,
48,636,,367621.28125
49,639,224716.71875,
49,649,224845.75,
49,649,,371957.53125
50,659,197075.296875,
50,662,,313345.125
51,669,320590.375,
51,675,,421020.4375
52,679,110441.515625,
52,688,,289038.6875
53,689,341825.6875,
53,699,203044.75,
53,701,,315015.65625
54,709,266909.1875,
54,714,,319849.96875
55,719,290701.75,
55,727,,292957.4375
56,729,149456.46875,
56,739,148109.3125,
56,740,,375366.90625
57,749,152528.0,
57,753,,316623.46875
58,759,190189.796875,
58,766,,354928.4375
59,769,369404.25,
59,779,150912.78125,
59,779,,311870.75
60,789,205481.21875,
60,792,,351687.40625
