epoch,step,train_loss,val_loss
0,9,31046448.0,
0,12,,32441100.0
1,19,33052718.0,
1,25,,32403312.0
2,29,35293360.0,
2,38,,32326382.0
3,39,40009736.0,
3,49,34059000.0,
3,51,,32247734.0
4,59,33121902.0,
4,64,,32190192.0
5,69,33611568.0,
5,77,,31289812.0
6,79,31468244.0,
6,89,29562896.0,
6,90,,30741366.0
7,99,32578632.0,
7,103,,30567882.0
8,109,33018260.0,
8,116,,28862438.0
9,119,29498948.0,
9,129,26848720.0,
9,129,,29288734.0
10,139,30622964.0,
10,142,,27199214.0
11,149,26683320.0,
11,155,,26854820.0
12,159,29244264.0,
12,168,,24940180.0
13,169,23828960.0,
13,179,23838998.0,
13,181,,21498870.0
14,189,22560192.0,
14,194,,22602728.0
15,199,19750814.0,
15,207,,19416258.0
16,209,17748742.0,
16,219,16671895.0,
16,220,,18318886.0
17,229,14243595.0,
17,233,,15491003.0
18,239,13462155.0,
18,246,,11693866.0
19,249,10819600.0,
19,259,9955611.0,
19,259,,9866447.0
20,269,7605919.5,
20,272,,9772248.0
21,279,6975978.0,
21,285,,8508897.0
22,289,5642201.5,
22,298,,6475808.0
23,299,5201228.0,
23,309,3647322.75,
23,311,,6182919.5
24,319,2638831.25,
24,324,,3504223.75
25,329,1848207.75,
25,337,,1954101.0
26,339,2600867.5,
26,349,978327.9375,
26,350,,2493542.5
27,359,839365.875,
27,363,,1540021.625
28,369,423882.75,
28,376,,1053683.625
29,379,365506.71875,
29,389,423471.34375,
29,389,,869378.375
30,399,162935.1875,
30,402,,636801.0
31,409,250927.03125,
31,415,,723171.1875
32,419,449624.25,
32,428,,709822.1875
33,429,395501.25,
33,439,424010.75,
33,441,,724581.6875
34,449,628415.625,
34,454,,453043.8125
35,459,387459.6875,
35,467,,428202.84375
36,469,311083.09375,
36,479,331810.78125,
36,480,,418735.625
37,489,276968.5625,
37,493,,407765.90625
38,499,229592.671875,
38,506,,585557.125
39,509,196657.421875,
39,519,483571.0,
39,519,,313198.90625
40,529,316688.4375,
40,532,,470157.53125
41,539,266845.9375,
41,545,,381842.8125
42,549,177057.546875,
42,558,,457384.15625
43,559,245360.15625,
43,569,339737.21875,
43,571,,340306.28125
44,579,314261.34375,
44,584,,472315.3125
45,589,450299.9375,
45,597,,373152.53125
46,599,241705.171875,
46,609,293523.9375,
46,610,,353864.3125
47,619,150103.984375,
47,623,,291002.1875
48,629,185149.734375,
48,636,,299899.34375
49,639,216982.75,
49,649,155740.96875,
49,649,,405473.375
50,659,149222.671875,
50,662,,353754.3125
51,669,173092.515625,
51,675,,458727.96875
52,679,202778.09375,
52,688,,329068.125
53,689,170614.546875,
53,699,392978.34375,
53,701,,350287.03125
54,709,344076.5,
54,714,,387419.59375
55,719,236179.859375,
55,727,,366880.59375
56,729,311744.25,
56,739,258179.96875,
56,740,,234031.5625
57,749,308075.40625,
57,753,,348581.125
58,759,179179.046875,
58,766,,264891.46875
59,769,211284.65625,
59,779,177005.734375,
59,779,,354750.5625
60,789,178388.375,
60,792,,354127.15625
61,799,176648.796875,
61,805,,317482.46875
62,809,159701.28125,
62,818,,345455.71875
63,819,289515.65625,
63,829,376671.1875,
63,831,,391173.1875
64,839,220756.171875,
64,844,,302010.375
65,849,172240.828125,
65,857,,321594.6875
66,859,199235.109375,
66,869,252839.96875,
66,870,,238102.625
67,879,251266.3125,
67,883,,305063.6875
68,889,210655.09375,
68,896,,331897.21875
69,899,219149.0,
69,909,208055.546875,
69,909,,293658.96875
70,919,159337.296875,
70,922,,309302.59375
71,929,377654.0625,
71,935,,326275.53125
72,939,210068.53125,
72,948,,350170.25
73,949,322454.125,
73,959,176131.65625,
73,961,,302523.53125
74,969,162950.734375,
74,974,,343583.03125
75,979,236122.1875,
75,987,,290089.53125
76,989,136896.78125,
76,999,233722.90625,
76,1000,,301648.5625
